category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/104029,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F26941%2Fr6hu9lvguggkq2mi__1080_790.jpg&w=1000&q=75,스마트팩토리 AI 솔루션 기술지원 및 시스템 관리 엔지니어,아하랩스,• 제조 현장 내 데이터 수집 / 분석 또는 AI 솔루션의 고객 및 현장 대응을 담당할 엔지니어 채용,"• 제조 현장 시스템 운영 및 대응 경험자 및 관심이 있는 분
• PLC, PC, 장치 등이 네트워크로 연동되는 설비에 대한 이해 및 경험이 있거나 관심이 있는 분
• Windows PC 및 네트워크 설정 및 운영에 이해도가 높은 분","• 제조 현장 시스템 운영 및 대응 업무 경험자
• 현장 대응 및 기술 미팅 업무 가능자","• 점심, 간식 제공!
• 자기계발비 지원 (월 10만원)
• 탄력 근무제 시행중 (8~11시 출근, 5~8시 퇴근)
• 32시간 근무제 임시 시행중 (월요일 오후 출근, 금요일 오후 퇴근)
• 매달 임직원 소셜이벤트 및 이벤트 비용 지원","Python
DevOps
Docker
Windows 서비스",경기도 성남시 분당구 성남대로 43번길 10 (하나EZ타워) 712호,4734,19
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/101465,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F7234%2Fakcgnu5s3gyxiwys__1080_790.jpg&w=1000&q=75,(BlockQuant) Back-end Engineer,수호아이오,"• HTTP 프로토콜을 통해 클라이언트와 통신하는 모듈, 블록체인별 효율적인 위임을 하기 위해 트랜잭션을 담당하는 모듈을 개발합니다.
• 각 서비스 모듈 간 의존성을 낮추거나 트랜잭션 처리에 대한 높은 가용성을 보장하기 위해 이벤트 처리 기반 시스템을 구성합니다.
• 많은 트랜잭션을 블록체인 온 체인 특정 시점에 병렬 프로그래밍하여 효과적으로 처리하는 방법을 연구하고 적용합니다. 
• Tribee Simulator에서 실시간으로 연산되는 위임(delegation) 최적화를 위해 네트워크 통신을 통해 Interface 합니다.
• 확장 가능하고 변경이 유연한 설계를 통해 목표 수익률을 달성합니다.","• 수호의 핵심가치 ‘수호다움’에 공감하고 그렇게 일할 때 행복하신 분
• 백엔드 개발 경력 총 5년 이상 또는 그에 준한 실력이 있으신 분 (창업 경험 또한 경력에 포함되며 우대합니다.)
• 최소 하나 이상의 서버 프로그래밍 언어 개발이 가능하신 분 (NodeJS, Java, Go, Python 등)
• 읽기 좋고 효율적인 테스트 코드 작성을 통해 변경 용이한 소프트웨어를 만드실 수 있는 분","• 블록체인 비즈니스 관련 개발 경험이 있으신 분
• 기본적인 클라우드 인프라 구축 및 운영을 경험해 보신 분 (AWS, GCP 등)
• MongoDB를 사용하거나 경험해 보신 분
• 트래픽이 많은 대용량 서비스를 경험해보신 분
• 기술 블로그를 꾸준히 운영하고 계신 분","[BlockQuant 스쿼드에서 다음과 같은 기회를 얻을 수 있습니다]
• 지금까지 존재하지 않았던 블록체인 서비스를 백엔드 엔지니어로서 같이 창조해나갈 수 있습니다.
• 업무 시간 내 모든 학습을 존중하며, 업계 최고 수준의 개발자로 성장할 수 있도록 아낌없이 지원합니다.
• Tribee 서비스의 수익을 합리적으로 분배 받습니다.

[수호는 크리에이팅에만 집중할 수 있도록 지원하고 있습니다]
• 1인 1개 법인카드 : 높은 신뢰를 바탕으로 팀원 모두가 법인카드를 자율적으로 사용합니다
• 장비 및 소프트웨어 : 효율적으로 일할 수 있도록 최고급 하드웨어 및 소프트웨어를 제공합니다
• 업무 교육비 : 도서, 컨퍼런스, 학회, 온라인 클래스 등 교육 비용을 100% 지원합니다
• 택시비 지원 : 늦은 시간까지 고생해서 업무한 크리에이터를 위해 택시비를 지원해드립니다
• 수호 런치 : 매주 수요일 동료들과 다같이 맛있는 점심을 먹을 수 있도록 식대를 지원합니다 
• 저녁 식대 지원 : 늦은 시간까지 일하는 날에는 든든하게 챙겨 드실 수 있도록 저녁 식대가 제공됩니다
• 회사 카페 & 간식 구독 : 회사 카페의 무제한 이용이 가능하며 원하는 간식과 음료를 모두 제공합니다 
• 교정 테라피 : 크리에이터의 신체 건강을 위해 정기적으로 물리치료사님께 교정 및 마사지를 받습니다
• 경조금/경조 휴가 지급 : 크리에이터들의 기쁨과 슬픔을 함께 하며 경조사 시 유급 휴가를 제공합니다","Ethereum
ExpressJS
MongoDB
React
VueJS
Java
JavaScript
Node.js
Python
TypeScript
Blockchain
AWS
Go
Docker
NodeJS
GCP
React.js
React Native
Flutter","강남구 테헤란로 126, 지하1층 수호아이오 사무실&카페",없음,없음
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/51209,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F3778%2Fbrr1yf93dsndmgce__1080_790.png&w=1000&q=75,백엔드 개발자 (Back-end) (산업기능요원 신규/전직 가능),픽소(PIXO),"모바일에서 서비스 중인 픽소 제품 고도화를 위한 서버 사이드 구성 및 개발을 담당합니다.
• Backend 기술 스택 구성
• 픽소의 웹/앱 글로벌 서비스의 Backend 설계 및 개발
• Contentful을 통한 CMS(Content Management System)개발

[현재 기술스택은 다음과 같습니다.]
• 어플리케이션 기술스택
   - typescript
   - node.js(ts-node)
   - webpack
   - serverless-framework ⇒ infra as code로서 정책파일을 통해 infra관리

• 인프라 기술스택
   - AWS
   - lambda
   - DynamoDB
   - Api-gateway
   - Cognito
   - Cloudwatch ⇒ 로깅 및 notification
   - Route 53
   - Github ⇒ github action을 통해 CI & CD
   - CloudFormation ⇒ serverless-framework를 통해 사용
   - Sentry","• node.js 개발 경험
• typescript 개발 경험
• CMS(Content Management System) 개발 경험
• MSA 아키텍처 개발 경험이 있는 분
• 요구사항에 대한 Architecture설계 가능하신 분
• 논의를 통해 최적의 Solution을 찾는 것에 거리낌 없으신분","• DynamoDB를 이용한 개발 경험이 있으신분
• AWS 혹은 기타 클라우드 환경을 활용한 개발/운영 경험이 있으신 분
• 글로벌 서비스를 위한 인프라 아키텍처 설계, 개발 경험이 있으신 분
• 애자일/스크럼/칸반등의 개발 프로세스 경험이 있으신 분
• TDD 방식의 개발을 지향하시는 분
• Contentful같은 Headless-CMS 개발 경험이 있으신분","팀원 모두 쾌적한 업무환경에서 최고의 퍼포먼스를 낼 수 있도록 힘쓰고 있어요.

업무환경
• 일과 삶의 균형을 추구하며 효율적으로 일하는 문화
    • 주 40시간 기반의 효율적인 근무 문화 지향
    • 월 단위 기반 유연한 스케쥴 관리 가능 (선택적 근로시간제)
    • 사유와 사전 승인 없는 자유로운 휴가 문화
• 연남동 핫플레이스에 위치한 감각적인 오피스 건물
• 최신 장비 지원 - 아이맥, 맥북프로, LG 울트라파인 5K 듀얼 모니터 등
• 네이버, 카카오, 쿠팡, 토스 등 유니콘 스타트업 출신 동료들로 구성된 소수정예 팀

성장 및 생활지원 
• 연남동 맛집에서 가격 제한 없는 점심
• 야근을 지양하지만 필요 시 야근 식대 및 교통비 지원
• 커피, 스낵 등 각종 간식 지원
• 성장비(교육, 세미나, 도서 등) 전액 지원
• 설날/추석 명절 상여 지원
• 연 1회 종합검진비용 및 유급휴가 지원
• 생일축하선물 및 유급휴가 지원
• 경조금, 경조휴가 등 각종 경조사 지원


이 외 일에 집중할 수 있는 환경과 즐거운 픽소 생활을 위해 다양한 지원을 고민하고 있습니다.",없음,서울특별시 마포구 연남동 568-39 카라빌딩,없음,없음
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/99800,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F3382%2F3jcghcdti4sxyxpm__1080_790.png&w=1000&q=75,Devops/SRE,111퍼센트,"(하기 업무 중 선택적 해당 내역)
• 요구 사항 분석 및 아키텍처 제안, 설계, 구축
• 퍼블릭 클라우드 기반 서비스 운영 및 배포 자동화 및 가용성 확보
• 시스템 및 애플리케이션 핵심 지표 분석 및 시각화, 서비스 변경 추적 및 관리, 장애 대응 및 개선안 도출","• 유관 경력 3년 이상 혹은 이에 준하는 역량을 보유하신 분
• 퍼블릭 클라우드 환경 인프라 구축 및 운영 경험이 있으신 분
• Virtualization, Serverless, Orchestration 관련 기술 경험이 있으신 분
• DevOps 문화에 대한 이해가 깊고 해당 문화를 주도한 경험이 있으신 분
• CI/CD 플랫폼, IaC, SaC 배포 스크립트 사용 경험이 있으신 분
• 다양한 언어의 에러, 익셉션 확인 및 기초적인 내용 분석이 가능하신 분","• 글로벌 서비스 지원 경험이 있으신 분
• 대용량 트래픽 환경의 운영 업무 경험이 있으신 분
• 다양한 아키텍처(MSA, Stateless, Serverless, Batch 등)에 대한 경험과 지식이 있으신 분
• 다양한 오픈소스 서비스를 설치, 운영해 보시고 문제가 발생했을 때 빠르게 대응하고 효율적으로 운영 가능 하신 분","• 무제한 연차휴가제도
• 점심/ 저녁 식대 지원
• 사내 카페테리아 운영
• 각종 음료수, 다양한 간식 제공 
• 연 1회 건강검진 지원",없음,테헤란로152,4926,130
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/101542,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F1719%2Fuinpbjevfwsnduwn__1080_790.jpg&w=1000&q=75,Service Platform 개발자,29CM(무신사),"29CM의 내부 개발자를 대상으로 한 개발 환경 고도화 작업부터 기반 서비스의 개발 업무를 진행합니다. 

- 각 도메인 서비스에서 활용 가능한 기반 서비스 구축 및 운영
- 플렛폼 관련 서비스 백엔드 개발 및 운영
- 대용량 트래픽 대응과 고가용성을 위한 아키텍쳐 설계 및 시스템 튜닝
- 서비스 및 인프라 자동화에 대한 업무 수행","- Spring(Java/Kotlin) 기반의 서비스를 개발 및 운영 해보신 분
- MSA (Microservice architecture)에 이해도가 있는 분
- Kubernetes 기반 환경을 경험해보신 분
- 클라우드 기반 환경의 기본적인 이해가 있으신 분(AWS, GCP 등..)
- 소통하기 좋아하고, 협업을 위한 커뮤니케이션이 원활한 분","- Kubernetes 이해도가 깊으신 분
- 대용량 트래픽 대응을 경험해보신 분
- 성능 최적화 경험이 있으신 분
- 새로운 지식 습득의 거부감이 없고, 검토가 꼼꼼하신 분
- 인프라, 네트워크 지식이 깊으신 분
- IaC 툴의 사용경험이 있으신 분
- DevOps 경험이나 관심이 많으신분","[근무환경]
▷ 오전 8~11시 사이 자율 출퇴근제 운영
▷ 주 2회 재택근무 상시화
▷ 월 1회 Early Friday  운영
▷ 자율 근무복장
▷ 직급 없이 ‘님’으로 소통

[복지포인트]
▷ 연 350만 복지 포인트 지급
- 자기계발(교육, 도서구매, 운동, 문화생활 등), 가족 건강검진, 육아용품 구매, 주차비 등 온.오프라인으로 사용 가능

[건강/휴식]
▷ 연 1회 건강검진, 심리상담 지원
▷ 3년, 6년, 9년 12년 만근 시, 추가 복지포인트 및 포상휴가 제공
▷ 휴가는1일(8시간), 0.5일(4시간), 0.25일(2시간)으로 유연하게 사용 가능

[무신사 스토어 혜택]
▷ 월 10만원 한도로 무신사/스타일쉐어/29CM/솔드아웃 사이트 내 쇼핑 지원금 지급(Self Love 비용)
▷ 무신사 패밀리 사이트 내 제품 구매 시 20만원 지원
▷ 무신사 패밀리 사이트 할인 혜택 제공

[사내 생활 지원]
▷ 출근 시 샌드위치, 샐러드, 과일, 스콘, 김밥 등 아침 간식 제공
▷ 자녀의 초등학교 입학 시 축하금을, 대학 입학 시 대학등록금 지원
▷ 사내대출제도 및 일정 비율의 대출이자를 지원
▷ 경조휴가 및 경조금 지원",없음,서울 강남구 선릉로93길 35 4층(나라키움 역삼B빌딩),없음,없음
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/116192,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F29879%2Fuzkxdjsjcot6ovqs__1080_790.jpg&w=1000&q=75,DevOps Engineer,마모루디지털코리아,"• 가상자산 관련 시스템의 안정적이고 확장성있는 인프라 설계 및 구축
• 안정적인 서비스 운영을 위한 모니터링 시스템 구축 및 운영
• CI/CD 에 기반한 빌드/테스트/배포 자동화 환경 구성","• 관련 경력 4년 이상 보유하신 분
• AWS, GCP 등 클라우드 환경에서 인프라 및 서비스를 운영한 경험이 있으신 분
• Kubernetes 또는 Docker 환경에서 서비스를 운영한 경험이 있으신 분
• Java/Kotlin 등 JVM 환경의 웹 애플리케이션 개발 및 운영 경험이 있으신 분
• 관련 학과 전공자","• AWS 의 다양한 리소스를 서비스에 적용하고 활용해 보셨던 분
• 보안 관점에서 인프라에 대한 고민을 해보셨던 분
• 새로운 기술을 익히고 적용하는데 거부감이 없으신 분
• 블록체인 기반 서비스 인프라 구축 경험을 해보셨던 분
• 영어로 커뮤니케이션이 가능한 분","1. 경쟁력 있는 급여
 - 국내 IT 탑티어 기업 대비 경쟁력 있는 급여를 지급합니다.

2. 선물/이벤트 : 
 - 소중한 날의 기념을 위해 ＜생일/결혼기념일＞은 조기 퇴근 제도를 운영 합니다.
 - 생일 : 기프트카드지급과 함께 별도로 케이크 기프티콘을 증정합니다.
 - 결혼기념일 : 소중한 분께 구성원의 메세지와 함께 꽃다발을 증정합니다.

3. 팀 커피브레이크 지원
 - 구성원들간의 자유로운 화합을 위해 음료 및 디저트 비용을 지원합니다.

4. 피트니스 센터
 - 건강 관리를 위해 이용할 수 있는 피트니스 회원 비용을 제공합니다.

5. 건강검진
 - 구성원들의 건강관리와 질병예방을 위해 연 1회 건강검진을 지원해드립니다.

6. 도서구매 지원
 - 구성원들의 역량 향상과 능력개발을 위해 업무관련 도서의 구입 비용을 지원합니다.

7. 자기개발비 지원제도 운영
 - 구성원의 성장을 위해 자기개발비 전액을 지원 해드립니다.
 - 구성원의 외국어 능력 향상을 위해 외국어 교육비의 50%를 지원합니다.

8. 교통비 지원
 - PM10시까지 근무한 임직원들의 안전한 귀가를 위해 심야 택시비를 지원합니다.

9. 경조사 지원 (휴가 및 부의금)
 - 결혼, 회갑, 출산, 사망 등 경조사 발생시 축하 또는 조의의 마음을 표하기 위해 경조 휴가와 경조 화환(조화)를 제공합니다.

10. 선택적 현금성 복리후생 제휴
 - 선택적 복리후생 제휴를 통해 전국 200여만개의 사용처의 현금성 복지를 느끼실 수 있습니다.

11. 다양한 복지프로그램 설계 참가
 - 구성원들이 받을 복지는 모두 함께 설계할수 있도록 HR과 다양한 논의를 함께 진행하여 설계에 참여 할수 있습니다.","React
JavaScript
AWS
REST
HTML5",서울 영등포구 국제금융로10 IFC Two Tower 12층,없음,없음
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/47506,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F16227%2Fqa8pbgnbpqi5o42m__1080_790.jpg&w=1000&q=75,PHP 개발자,씨에이치플랫폼(CH플랫폼),"• VOD 방송 서비스 구축을 위한 API 구현
• 서비스 운영을 위한 백오피스 관련 API 구현
• 자사 API 고도화 및 유지 보수","• PHP 개발 
  - 현재 사이트의 경우 PHP와 그누보드로 개발되어 있습니다. 
  - 현재 사이트 유지 및 관리가 우선적인 업무이나, 레거시를 걷어내는 1차적인 작업 후 비즈니스 확장성에 맞춰 새로운 LMS 사이트를 새로 설계 및 개발할 예정입니다.
• PHP 그누보드 사용 경험이 있으신 분
• MySQL 또는 유사 RDBMS 경험이 있으신 분","• LMS(학습관리시스템) 개발 및 유지보수 유경험자
• 다음 개발을 위해 코드이그나이터 or 라라밸 사용 경험이 있으신 분
• 레거시 코드 및 시스템 리팩토링 리드 경험이 있으신 분","• 각종 경조사 지원, 선택적복리후생
• 인센티브제, 상여금, 장기근속자 포상, 퇴직금, 4대 보험
• 휴게실, 회의실, 공기청정기, 자회사 제품할인
• 연차, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무","Git
MySQL
Java
AWS
DevOps
Tomcat
Spring Framework
JPA
Nginx
Spring Boot",서울 강남구 테헤란로322 한신인터밸리24빌딩 서관 17층,3563,13
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/113646,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F5283%2Fsycse2crfxnmos1t__1080_790.jpg&w=1000&q=75,DevOps 개발,삼분의일,"- AWS 클라우드 환경에서 고가용성 인프라 구축 및 운영
- APM, Tracing, Logging, Infra 모니터링 및 자동화
- 개발팀 문화, 프로세스 개선 & CI/CD 파이프라인 구축 및 유지보수
- Legacy 시스템을 호환 가능한 Bean stalk / ECS / EKS 등으로 마이그레이션
- 문제에 대한 핵심 파악과 구조화 된 해결방법을 이끌어 낼 수 있는 분","- 한 가지 이상의 언어를 능숙하게 다루실 수 있는 분
- OS, 네트워크를 중심으로 하는 CS 전반에 걸친 기본적인 이해
- AWS 클라우드 서비스에 대한 기본적인 이해
- AWS 클라우드 환경 실무 경험
- Kubernetes 운영 경험이 있으신 분
- 장애 발생시 빠른 확인이 가능 한 트러블 슈팅 스킬","- 문제에 대한 핵심 파악과 구조화 된 해결방법을 이끌어 낼 수 있는 분
- 다른 직무의 팀원과 적극적으로 대화할 수 있는 의사소통 태도와 능력
- 새로운 것을 빠르게 배우고 호기심이 많으신 분
- 분산 서비스 로깅, 모니터링 파이프라인 구축 경험이 있으신 분
- 대용량 트래픽을 처리하는 시스템 운영 경험이 있으신 분
- 마이크로서비스 아키텍처에 관심이 있거나 운영 경험이 있는 분
- SQL/No-SQL 관리 경험
- Message Queue 관리 경험","• 주 4.5일 근무제
• 자율휴가제
• 듀얼모니터, 노트북 제공
• 다양한 간식 제공
• 자사제품 할인","Linux
C#
C
C++
RTOS",서초구 강남대로 299 5층,3685,21
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/12145,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F1343%2Foqbtusnumannu3ju__1080_790.jpg&w=1000&q=75,서버 프로그래머,힐링페이퍼(강남언니),"강남언니는 서버 프로그래머는 이런 도구를 사용합니다
강남언니 서버 프로그래머는 다음의 도구를 주로 사용합니다.
그 밖에도 주어진 문제에 따라 가장 적합한 여러가지 도구를 도입합니다.

• 프로그래밍 언어
   - Java
   - Kotlin
   - Python

• 프레임워크
   - Spring Boot
   - JPA
   - Hibernate

• 데이터베이스
   - MySQL
   - MongoDB
   - Elasticsearch

• 인프라
   - AWS
   - Kubernetes","강남언니는 이런 역량을 갖춘 서버 프로그래머를 찾습니다 
강남언니에서 서버 프로그래머로 함께 하기 위해 다음 역량이 반드시 필요합니다.

• 하나 이상의 OO(Object-Oriented) 프로그래밍 언어를 익숙하게 다루는 분
• 문제의 본질을 이해하고 답을 찾기 위해 동료의 의견에 집중하는 분
• 자신의 생각을 말, 글, 그림을 통해 합리적으로 표현할 수 있는 분
• 문제 해결에 필요하다면 자신의 지식과 경험을 내려놓을 수 있는 분
• 지금보다 더 나은 엔지니어로 성장하고 싶은 분","강남언니는 이런 역량을 갖춘 서버 프로그래머를 더욱 우대합니다 
다음 역량은 강남언니에서 서버 프로그래머로 함께 하기 위해 반드시 필요하지는 않지만 제품개발 조직의 역량을 더욱 높여줄 수 있다고 믿기에 높이 평가합니다.

• 모듈화에 대한 설계 원칙들의 개념과 장단점을 이해하는 분
• 서버 시스템 아키텍처 설계 패턴들의 개념과 장단점을 이해하는 분
• HTTP API의 장단점을 이해하는 분
• 전통적 아키텍처와 클라우드 아키텍처의 차이를 이해하는 분
• CQRS(Command Query Responsibility Segregation)를 이해하는 분
• NoSQL 데이터베이스 사용 경험을 가진 분
• 테스트 주도 개발 이해와 경험을 가진 분
• Continuous Integration과 Continuous Deployment 경험을 가진 분
• 자동화에 미친자","** 조직문화 제도와 서포팅 프로그램

우리는 힐링페이퍼의 이익에 최선이 되는 방향으로, 규칙보단 원칙에 기반하여 움직입니다. 
동료들이 함께 목적을 달성하는데 더 몰입하고 더 성장할 수 있도록 여러가지 문화적 제도와 서포팅 프로그램을 운영합니다.

 *솔직하고 원활한 커뮤니케이션을 통해 협업을 이루는 문화를 지향합니다.

  - 점심/저녁 식사비 지원: 때로는 전사의 동료들과, 때로는 함께 일하는 팀원들과 대화를 나누기위한 시간으로 사용 시 지원
  - 커피타임 지원: 업무적인 1on1 시간이나 대화가 필요한 동료들과의 커피타임은 회사에서 비용 지원
  - CSS 피드백: 엄격한 애정을 바탕으로 동료간의 솔직한 피드백을 장려하기 위한 제도 운영

 *투명한 정보의 흐름을 바탕으로 의사결정을 내리고 목적을 달성해 나갑니다.

  - 올핸즈와 공유 문화:  전사 밋업인 올핸즈와 슬랙, 태스크 관리툴, 다양한 문서와 회의록 등을 통해 회사의 모든 정보들을 누구에게나 투명하게 공유해 더 좋은 의사결정 장려
  - OKR 제도: 회사-팀-개인간의 목표를 조율과 자율, 오너십을 기반으로 정의하고 달성

 *힐링페이퍼의 이익에 최선이 되는 방향으로 행동하고 성장하는 동료들을 서포트합니다.

  - 장비/도서/교육 지원: 목적달성을 위해서 필요한 것이라면 스스로 판단하고 동료들에게 공개되는 형태로 신뢰 위에서 제약 없이 지원
  - 개인 법카 제공: 더 편리하고 빠르게 업무에 필요한 비용을 처리하기 위해 개별 제공
 - 기본 출근 및 선택적 재택 근무: 협업과 팀쉽을 위한 기본 출근을 지향하면서 필요에 따라 재택근무 가능
 - 동료 추천 보상: 최고의 동료들을 모시기 위해 인재를 추천해주는 분들께 추천 보상금 최대 1000만원 제공

 *업무에 더욱 몰입하기 위해 업무 외의 삶을 서포트합니다.

 - 주택자금 지원: 주거 안정을 서포트하기 위한 최대 1억원 대출에 대한 이자 전액 지원
 - 의료비 지원: 본인, 배우자, 자녀 의료 실손 보험 제공
 - 종합건강검진 지원: 매해 종합검진 신청 가능 (배우자 및 그 외 가족은 할인)
 - 심리상담 지원: 스트레스와 심적인 어려움을 도와줄 상담센터 이용 지원
 - 미용의료 지원: 업계와 고객에 대한 이해도 증진 겸 미용의료 시술 시 지원
 - 가족을 위한 시간 제공: 본인과 가족의 생일이나 명절 전 조기 퇴근
 - 차량대여 : 회사 차량(8인승)을 예약하여 필요에 따라 사용 가능
 - 동호회: Guild 활동 지원 (꽃꽂이, 사진, 운동, 여행 등 자유롭게 활동 및 신설 가능)

[참고사항]
 - 출근시간 : 오전 10시 (개인의 싸이클과 팀의 상황에 따라 조율 가능)
 - 수습기간: 3개월(급여, 서포팅 프로그램 차등 없음)


[인재영입 절차]
서류 검토 → 온라인 인터뷰(직무) → 본 인터뷰(직무/협업/문화) → (평판조회) → 
처우 협의 → 입사",없음,"테헤란로 124, 삼원타워(변협 신회관 빌딩) 13층",4363,122
DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/118081,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F30097%2Frjpc6tgb4mnlx8sn__1080_790.jpg&w=1000&q=75,클라우드 DevOps 엔지니어,테크에이스,"• 클라우드(AWS, GCP, Alibaba, NCP) 환경의 서비스 인프라 전반의 설계, 구축, 운영, 지원
• 클라우드 네트워크(AWS VPC, Route53 등)의 설계, 구축, 운용
• 서비스/시스템 관련 장애대응 및 문제 해결
• DevOps 관련 툴 사용 또는 운영 경험(GitHub, Jenkins 등)","• 클라우드를 이용한(AWS,Azure,GCP) 인프라 설계/구축/운용경험 1년이상
• Docker, Kubernetes 등 Container 관련 운영 경험
• 데이터,네트워크,시스템 보안에 대한 이해능력
• 새로운 기술 습득에 적극적이고 능동적인 분
• Linux기반 서비스 구축/운영 경험","• 대용량/실시간 데이터 처리 설계/운용 경험자
• 레거시 인프라 및 애플리케이션 모니터링 시스템 운영 경험
• 네트워크 및 보안 관련 지식 보유
• Shell Script(Bash,Python등) 사용 능력
• AWS SAA, GCP PCA 등 보유
• 호스팅 서비스 업체 등 IDC 운영 경험","* HOW WE TAKE CARE OF OUR OWN

  [기본 복지]
  • 4대보험 / 퇴직연금, 경조금, 인센티브 제도 운영

  [유연한 업무 환경]
  • 미국(Seattle, Bellevue) 교환 근무 프로그램을 제공(1년 이상 근무자)
  • 재택 / 탄력근무제 운영

  [자기계발]

  • 자기계발비를 지원 (연간 한도 매년 갱신)
  • 1:1 원어민 영어 강습을 무료 제공

  [충전 & 리프레시]
  • 연차휴가, 경조휴가 및 특별휴가를 제공
  • 우수사원, 장기근속자, 특별 우수사원 표창

  ** 회사 성장과 함께 복지도 계속 확대될 예정입니다","Github
Linux
Python
AWS
DevOps
Jenkins
Docker
Bash
Shell Scripting
GCP","서울시 서초구 강남대로 373, 홍우빌딩 13층",없음,없음
