category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee,first_cleaned_welfare,first_cleaned_works,scaler_money
임베디드 개발자,https://www.wanted.co.kr/wd/99367,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F27943%2F8jqq3y5rlzycwgue__1080_790.jpg&w=1000&q=75,PCB 회로 설계,오토엘(AutoL),"• 아날로그 회로 설계 및 평가
• 회로 설계 툴 사용 (OrCAD, PADS 등)","• 학사 이상의 학위 소지자(석박사 우대)
• 해외 여행에 결격 사유가 없으신 분
• 남성은 병역필 또는 면제되신 분

• 원활한 커뮤니케이션 능력
• 전기전자/컴퓨터/정보통신 등 관련 공학계열
• 회로 설계 툴 사용 (OrCAD, PADS 등)","• 원활한 커뮤니케이션 능력 
• 전기전자/컴퓨터/정보통신 등 관련 공학계열
• 자동차 관련 회사 아날로그 회로 개발 경험","• 점심식사 제공, 음료제공(차, 커피)
• 휴게실, 수면실, 회의실, 카페테리아, 사무용품 지급
• 유연 근무제 (10시~3시 코어 근무 타임) 및 여름휴가 제도","C#
C
C++
FPGA
광학
회로 설계
Embedded Linux
ORCAD
Xilinx
Embedded C
PADS
LiDAR
회로 시뮬레이션
Xilinx ISE
FPGA 프로토 타이핑
회로 테스트
PADS Layout",경기도 성남시 수정구 금토로 80번길 11 판교이노베이션랩(지식산업센터) 305호,5766,13,점심식사 음료 커피 휴게실 수면 회의실 카페테리아 사무 용품 유연 무제 코어 타임 여름 휴가,OrCAD PADS 아날로그 회로 설계 평가 회로 설계,0.7448650045213797
임베디드 개발자,https://www.wanted.co.kr/wd/105605,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F28988%2Firznud0hcv8iaxs1__1080_790.png&w=1000&q=75,Linux (Embedded) 개발 연구원,엘프프로페셔널,"• Embedded Linux 환경에서 application 개발
• MCU 환경에서 장치 제어",• C/C++ 프로그래밍 가능자,"• Linux Kernel 개발 경험
• Linux Kernel Module 개발 경험
• Open Source 분석/포팅 가능
• 전공 : 전기.전자공학, 전산학.컴퓨터공학, 정보통신공학
• 관련 업종 경력","• 근무요일 : 주 5일(월~금)
• 근무시간 : 09:00 ~ 18:00
• 건강검진, 직원대출제도, 자녀학자금
• 퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험
• 점심식사 제공","MATLAB
C / C++
알고리즘 설계
알고리즘 개발
Embedded C",서울특별시 강서구 허준로 217,4231,58,요일 근무시간 건강검진 대출 자녀 학자금 퇴직 연금 장기 근속 포상 우수 사원 포상 퇴직금 보험 점심식사,Embedded Linux MCU 장치 제어,0.5465702105671102
임베디드 개발자,https://www.wanted.co.kr/wd/114800,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31864%2Fckg30ijrxwz0kk2n__1080_790.jpg&w=1000&q=75,ASIC 검증 펌웨어 엔지니어,라닉스,"• ASIC 검증 
• MCU Embedded F/W, MCU Peripheral 검증","• 전공무관
• 경력 3~10년","• Embedded F/W 프로젝트 리딩 경험자
• Embedded Device driver, protocol stack 개발 경험자
• MCU bus I/F(SPI,I2C), 통신(Eth, USB, Serial) 개발 프로젝트 경험자","• 근무 형태 및 환경
  - 유연근무제도 : 07:00~10:00 자율출근
  - 편안한 출퇴근길 : 지하철 7호선 학동역 도보 5분이내, 사옥내 주차공간 보유 
  - 쾌적한 업무환경 : 피트니스 센터, 샤워실, 수면실, 카페테리아(각종 음료 및 커피머신), 루프탑

• 휴가 및 복지
  - 연차휴가(연차, 반차, 반반차 세부구분 사용가능) 
  - 경조 휴가 및 경조비   
  - 건강 검진시 반차 제공 
  - 회사 리조트 이용 가능 
  - 우수사원 및 장기근속자 포상
  - 설날/추석 선물 지급

• 자기계발
  - 원어민 영어회화 교육 운영
  - 직무 관련 컨퍼런스 및 외부 교육 참여 지원
  - 자체 기술세미나 수시 진행

• 그 외에도!
  - 사내 동호회 운영
  - 인재추천 보상제도 운영
  - 연장근무시 저녁식대 지원
  - 상하반기 workshop 진행","MATLAB
C
펌웨어
레이더
DSP
알고리즘 개발",서울 강남구 언주로135길25 라닉스빌딩,5837,74,workshop 형태 유연근무제 자율 편안하다 출퇴근길 지하철 학동역 도보 불다 주차공간 보유 쾌적하다 피트니스 센터 샤워실 수면 카페테리아 음료 커피 머신 루프 휴가 복지 연차 휴가 연차 세부 구분 경조 휴가 조비 건강 검다 리조트 이용 우수 사원 장기 근속 포상 설날 추석 선물 자기계발 원어민 영어 회화 교육 직무 컨퍼런스 외부 교육 자체 세미나 수시 동호회 추천 보상 연장 무시 저녁 식대 상하 반기,ASIC MCU Embedded MCU 검증 검증,0.7540369461309909
임베디드 개발자,https://www.wanted.co.kr/wd/113487,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31864%2Fckg30ijrxwz0kk2n__1080_790.jpg&w=1000&q=75,보안 MCU SW 개발,라닉스,• 보안 MCU embedded F/W 및 Bootloader개발,"• 전공무관
• 경력 3~10년
• embedded F/W 개발 가능자","ㆍEmbedded F/W 프로젝트 리딩 경험자.
ㆍBootloader 개발 경험자.
ㆍEmbedded Device driver 개발 경험자.
ㆍAutoSAR 개발 경험자
ㆍSecurity S/W, F/W 개발 경험자","• 근무 형태 및 환경
  - 유연근무제도 : 07:00~10:00 자율출근
  - 편안한 출퇴근길 : 지하철 7호선 학동역 도보 5분이내, 사옥내 주차공간 보유 
  - 쾌적한 업무환경 : 피트니스 센터, 샤워실, 수면실, 카페테리아(각종 음료 및 커피머신), 루프탑

• 휴가 및 복지
  - 연차휴가(연차, 반차, 반반차 세부구분 사용가능) 
  - 경조 휴가 및 경조비   
  - 건강 검진시 반차 제공 
  - 회사 리조트 이용 가능 
  - 우수사원 및 장기근속자 포상
  - 설날/추석 선물 지급

• 자기계발
  - 원어민 영어회화 교육 운영
  - 직무 관련 컨퍼런스 및 외부 교육 참여 지원
  - 자체 기술세미나 수시 진행

• 그 외에도!
  - 사내 동호회 운영
  - 인재추천 보상제도 운영
  - 연장근무시 저녁식대 지원
  - 상하반기 workshop 진행","MATLAB
C
펌웨어
레이더
DSP
알고리즘 개발",서울특별시 강남구,5837,74,workshop 형태 유연근무제 자율 편안하다 출퇴근길 지하철 학동역 도보 불다 주차공간 보유 쾌적하다 피트니스 센터 샤워실 수면 카페테리아 음료 커피 머신 루프 휴가 복지 연차 휴가 연차 세부 구분 경조 휴가 조비 건강 검다 리조트 이용 우수 사원 장기 근속 포상 설날 추석 선물 자기계발 원어민 영어 회화 교육 직무 컨퍼런스 외부 교육 자체 세미나 수시 동호회 추천 보상 연장 무시 저녁 식대 상하 반기,MCU embedded 보안,0.7540369461309909
임베디드 개발자,https://www.wanted.co.kr/wd/112442,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31864%2Fckg30ijrxwz0kk2n__1080_790.jpg&w=1000&q=75,5G-NR SW 개발,라닉스,• 5G NR V2X(sidelink) layer3 (RRC & PC5-S) 설계 및 개발 업무 파트,"ㆍ경력 : 경력 (년수무관)
ㆍ3GPP 규격 분석 능력(LTE or 5G NR Protocol Stack 개발 경험 환영)
ㆍ규격 분석 후 설계 , 코드 구현 가능 한분
ㆍ3GPP 이동통신 기본 개념 이해
ㆍReal Time-OS 환경에서 개발 경험","ㆍARM 기반 SOC SW Platform 개발 유경험자
ㆍRTOS 기반 Embedded SW 개발 유경험자","• 근무 형태 및 환경
  - 유연근무제도 : 07:00~10:00 자율출근
  - 편안한 출퇴근길 : 지하철 7호선 학동역 도보 5분이내, 사옥내 주차공간 보유 
  - 쾌적한 업무환경 : 피트니스 센터, 샤워실, 수면실, 카페테리아(각종 음료 및 커피머신), 루프탑

• 휴가 및 복지
  - 연차휴가(연차, 반차, 반반차 세부구분 사용가능) 
  - 경조 휴가 및 경조비   
  - 건강 검진시 반차 제공 
  - 회사 리조트 이용 가능 
  - 우수사원 및 장기근속자 포상
  - 설날/추석 선물 지급

• 자기계발
  - 원어민 영어회화 교육 운영
  - 직무 관련 컨퍼런스 및 외부 교육 참여 지원
  - 자체 기술세미나 수시 진행

• 그 외에도!
  - 사내 동호회 운영
  - 인재추천 보상제도 운영
  - 연장근무시 저녁식대 지원
  - 상하반기 workshop 진행","MATLAB
C
펌웨어
레이더
DSP
알고리즘 개발",서울특별시 강남구,5837,74,workshop 형태 유연근무제 자율 편안하다 출퇴근길 지하철 학동역 도보 불다 주차공간 보유 쾌적하다 피트니스 센터 샤워실 수면 카페테리아 음료 커피 머신 루프 휴가 복지 연차 휴가 연차 세부 구분 경조 휴가 조비 건강 검다 리조트 이용 우수 사원 장기 근속 포상 설날 추석 선물 자기계발 원어민 영어 회화 교육 직무 컨퍼런스 외부 교육 자체 세미나 수시 동호회 추천 보상 연장 무시 저녁 식대 상하 반기,NR sidelink layer RRC PC 설계 파트,0.7540369461309909
임베디드 개발자,https://www.wanted.co.kr/wd/113486,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31864%2Fckg30ijrxwz0kk2n__1080_790.jpg&w=1000&q=75,BSP 엔지니어,라닉스,"※ 면접 및 입사후 면담을 통해 세부 직무를 상호 협의합니다.
• V2X 통신 OBU BSP 개발
  - Boot loader, device driver 구현(USB/ Network... )
  - Embedded Linux Kernel 관리(요구 사항에 대응 최적화)
  - LTE & WAVE 모뎀 통신및 V2X 프로토콜 동작 안정화 작업
  - Make file 관리
  - Git 형상관리

• 5G Modem BSP 개발
  - device driver 구현(USB/ Network......)
  - Xilinx FPGA(ZCU 기반 RT-OS or linux 요구 사항 기능 구현 및 펌웨어 기능 구현)
  - Make file 관리
  - Memory 최적화, Data processing 최적화
  - 5G Modem Control 펌웨어 개발
  - Git 형상관리","• V2X 통신 OBU BSP 개발
  - Embedded Linux Kernel 이해 필수  
  - Driver 개발 경험

• 5G Modem BSP 개발
  - Embedded Linux or RT OS 기반 개발 경험 필수
  - Driver 개발 경험","• LTE & 5G & BLE & WIFI Modem 기반의 SW 개발 경험
• 3Gpp 표준 규격 분석 경험           
• 무선 통신 배경 지식과 경험","• 근무 형태 및 환경
  - 유연근무제도 : 07:00~10:00 자율출근
  - 편안한 출퇴근길 : 지하철 7호선 학동역 도보 5분이내, 사옥내 주차공간 보유 
  - 쾌적한 업무환경 : 피트니스 센터, 샤워실, 수면실, 카페테리아(각종 음료 및 커피머신), 루프탑

• 휴가 및 복지
  - 연차휴가(연차, 반차, 반반차 세부구분 사용가능) 
  - 경조 휴가 및 경조비   
  - 건강 검진시 반차 제공 
  - 회사 리조트 이용 가능 
  - 우수사원 및 장기근속자 포상
  - 설날/추석 선물 지급

• 자기계발
  - 원어민 영어회화 교육 운영
  - 직무 관련 컨퍼런스 및 외부 교육 참여 지원
  - 자체 기술세미나 수시 진행

• 그 외에도!
  - 사내 동호회 운영
  - 인재추천 보상제도 운영
  - 연장근무시 저녁식대 지원
  - 상하반기 workshop 진행","MATLAB
C
펌웨어
레이더
DSP
알고리즘 개발",서울특별시 강남구,5837,74,workshop 형태 유연근무제 자율 편안하다 출퇴근길 지하철 학동역 도보 불다 주차공간 보유 쾌적하다 피트니스 센터 샤워실 수면 카페테리아 음료 커피 머신 루프 휴가 복지 연차 휴가 연차 세부 구분 경조 휴가 조비 건강 검다 리조트 이용 우수 사원 장기 근속 포상 설날 추석 선물 자기계발 원어민 영어 회화 교육 직무 컨퍼런스 외부 교육 자체 세미나 수시 동호회 추천 보상 연장 무시 저녁 식대 상하 반기,OBU BSP Boot loader device driver USB Network Embedded Linux Kernel LTE WAVE Make file Git Modem BSP device driver USB Network Xilinx FPGA ZCU RT OS or linux Make file Memory Data Modem Control Git 면담 세부 직무 상호 통신 구현 요구 대응 최적화 모뎀 통신 프로토콜 동작 안정화 작업 형상관리 구현 요구 구현 펌웨어 구현 최적화 최적화 펌웨어 형상관리,0.7540369461309909
임베디드 개발자,https://www.wanted.co.kr/wd/27118,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F4736%2Fftcdq9jddlbrv7uy__1080_790.jpg&w=1000&q=75,펌웨어 개발 (신입),에바(Evar),"• 전기차 충전기 컨트롤 용 MCU Firmware 개발
• 통신 (RS232, RS485 등) 프로그램 개발","• C/C++ 능숙, Firmware 개발 유경험자
• 임베디드 개발 유경험자
• Linux 개발 유경험자","• HW/SW 개발 경험 (경진대회 수상 이력)
• 전기차 충전기 컨트롤러 개발 경험
• 특성화고, 마이스터고 출신","• 주5일 / 자율출퇴근제
• 식사 제공 (점심/저녁)
• 간식 무제한
• 자기계발(도서구매) 지원
• 체력단련비(헬스클럽) 지원
• 건강검진 지원","Git
Github
C / C++
Python
MFC","경기도 성남시 수정구 창업로 42 (경기 혁신 성장센터), 919호",0,없음,자율 식사 점심 저녁 간식 무제한 자기계발 도서 구매 체력 달다 헬스클럽 건강검진,MCU Firmware RS RS 전기차 충전기 컨트롤 통신,0.0
임베디드 개발자,https://www.wanted.co.kr/wd/122435,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F29178%2Fgyaw0n1v13gar5qj__1080_790.jpg&w=1000&q=75,Product Owner (GUI),럭스소프트코리아,"• Conduct detailed working items and set features prioritization with customer
Manage the schedule working items
• Continually (per sprint) refines product backlog (add, change, re-prioritize)
• Responsible for release Burndown chart update
• Conduct sprint review with the project team","• Experience of Agile process
• Confluence/Jira
• Experience of Qt&QML application
• Understanding of Qt framework","• English: Advanced
• Korean: Advanced","• Annual leave
Employees receive a base of 20 days of leave a year and get 1 additional day every two consecutive calendar years
• Employee medical insurance
Allianz
• Employee Assistance Program
Support, practical information, and counseling on a variety of topics
• Global relocation
Relocate all over the world, and get experience in an international environment
• Internal Mobility
New career opportunities, rotation between projects, accounts and locations
• Internal training center
The catalog contains more than 200 free instructor-led training courses, and certification programs available upon agreement with management","Android
Linux
MySQL
C / C++
Java
JavaScript
SQL
AWS
C++
Shell Scripting
Spring Framework",판교로 228번길 15,5879,59,Annual leave Employees receive base days leave year get day every two calendar years Employee medical insurance Allianz Employee Program Support practical variety topics Global Relocate all over world get an Internal Mobility New career rotation between projects accounts locations Internal training center The catalog contains more than free led training courses programs available upon agreement,Conduct detailed working items set features customer Manage schedule working items per sprint refines product backlog add change re for release Burndown chart update Conduct sprint review project team,0.7594626017310425
임베디드 개발자,https://www.wanted.co.kr/wd/112158,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F29178%2Fgyaw0n1v13gar5qj__1080_790.jpg&w=1000&q=75,Product Owner (OTA/Media),럭스소프트코리아,"• Work with engineering teams (coordination across multiple development sites on-shore, off-shore and customer) to identify the steps required to clarify the requirements, resolve technical requirements inconsistencies and deliver complex solutions with quality.
• Develop roadmaps, drive planning, execution, schedule optimization, prioritization. Maintain an up to date project plan and lead meetings to resolve conflicts, facilitate decision making, and drive timely execution. risk mitigation, regular tracking and reporting, schedule trends vs baseline, prepare recovery actions, executive reporting & stakeholder communications
• Strong technical understanding of SW dependencies and deliverables. Review Software specifications, Architecture and Design documents for the system
• Act according to the standards of the automotive industry and in-car applications and software development processes","• Embedded Software
• C++
• SDLC
• Automotive","• Agile Methodology
• OTA
• Media Framework
• ALSA","• Annual leave
Employees receive a base of 20 days of leave a year and get 1 additional day every two consecutive calendar years
• Employee medical insurance
Allianz
• Employee Assistance Program
Support, practical information, and counseling on a variety of topics
• Global relocation
Relocate all over the world, and get experience in an international environment
• Internal Mobility
New career opportunities, rotation between projects, accounts and locations
• Internal training center
The catalog contains more than 200 free instructor-led training courses, and certification programs available upon agreement with management","Android
Linux
MySQL
C / C++
Java
JavaScript
SQL
AWS
C++
Shell Scripting
Spring Framework",판교로 228번길 15,5879,59,Annual leave Employees receive base days leave year get day every two calendar years Employee medical insurance Allianz Employee Program Support practical variety topics Global Relocate all over world get an Internal Mobility New career rotation between projects accounts locations Internal training center The catalog contains more than free led training courses programs available upon agreement,Work teams across multiple sites shore off shore customer identify steps required clarify resolve technical deliver complex solutions quality Develop roadmaps drive planning execution schedule Maintain an up date project plan lead meetings resolve conflicts decision making drive timely execution risk regular tracking reporting schedule trends vs baseline prepare recovery actions executive reporting Strong technical SW Review Software Design documents for system Act according standards industry car software processes,0.7594626017310425
임베디드 개발자,https://www.wanted.co.kr/wd/66025,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F21343%2F9sbgxjs4iwpxfrvm__1080_790.jpg&w=1000&q=75,펌웨어(FW)개발,누하스,"- 임베디드 펌웨어 개발 (Motor / Wifi / Bluetooth / 기타 센서류) 제어
- IoT 디바이스의 개발 전반 관리 (일정, 산출물 포함)
- 인증 Debugging (EMI, EMC)","• 학력: 대졸 이상(4년)
• 경력: 3년이상 12년이하","- 블루투스 등 무선통신 드라이버 응용 개발 경험자 (ARM Cortex-M 개발)
- 임베디드 리눅스 어플리케이션 개발 경험자
- IoT 기술 관련 프로젝트 수행 경험 보유자","- 경조사 지원
 - 종합 건강검진 제공
 - 자사제품 할인
 - 사내 휴양소 운영
 - 카페테리아 운영
 - 안마의자 설치
 - 생일자 이벤트
 - 자유로운 연차 사용
 - 자율 복장
 - 회식 거의 없음(회식 강요 없음)
 - 듀얼 모니터 제공",없음,서울시 이태원동 5-11 누하스 본사,3075,63,경조사 종합 건강검진 자사 할인 휴양 카페테리아 안마 의자 설치 생일 이벤트 자유롭다 연차 자율 복장 회식 회식 강요 듀얼 모니터,Motor Wifi Bluetooth IoT Debugging EMI EMC 임베디드 펌웨어 센서 제어 디바이스 전반 일정 산출 인증,0.39723549928949753
