category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee,first_cleaned_welfare,first_cleaned_works,scaler_money
ERP전문가,https://www.wanted.co.kr/wd/115448,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F19760%2Fitczrsdxr2kzbaz4__1080_790.jpg&w=1000&q=75,프로젝트 리더 (PL),엑스포럼,"• 자사 주최 전시박람회 통합 CRM 구축
• 프로젝트 분석/설계 및 프로젝트 리딩/개발
• 서비스 구현을 위한 개발 전략 수립, 기술 로드맵 제시
• 개발 조직 구축 및 인력 관리

▣ 기술 스택
• Java-Spring Boot, Python-Django/Flask, node.js-Express 등,
   Open-Source 기반의 언어 및 MVC 프레임워크 (PHP 제외)
• PostgreSQL, MariaDB 등 Open-Source 기반의 RDBMS
• React, Vue.js 등 Open-Source 기반의 Front-end Framework
• Jenkins, Redmine 등 Open-Source 기반의 CI/CD System 및 Issue Tracking System
• 형상 관리 시스템 Git
지원자는 기술 선정이 가능하며, 지원자 본인이 선정 기술에 대한 능력과 경험이 풍부하여야 함","• 웹에 대한 전반적인 개발 및 DB 설계 능통자
• 프로젝트 분석/설계 및 프로젝트 리딩/개발이 가능한 분
• 개발 경력 7년 이상이면서, 팀장급 이상 경력 2년 이상","• 非개발직 실무자와의 원활한 커뮤니케이션이 가능한 분
• 강한 책임감과 추진력으로 프로젝트와 개발 조직을 이끌 수 있는 분
• 팀원에 대한 능동적인 코칭 및 피드백이 가능한 분
• 非개발社의 디지털 전환을 도모할 자신이 있는 분
• IaaS, PasS, 혹은 On-Premises에 대한 사용 및 구축이 가능한 분
• PL(PO)로서 제품을 직접 처음부터 끝까지의 (기획, 개발, 런칭, 고도화) 단계를 이행한 경험 보유자","• 본사 내 카페 HOWS Seoul 50% 할인
• 시차출퇴근제 ( 9 to 6 / 10 to 7 선택 )
• 법인차량 ( 외근 / 출장시 )","Git
Django
ExpressJS
Flask
MySQL
React
VueJS
Java
Node.js
Python
Jenkins
PostgreSQL
Bugzilla
Spring Boot
Redmine","서울시 송파구 백제고분로9길 5, (잠실동, 스토리2003)",2933,24,HOWS Seoul 카페 할인 차량 외근 출장,CRM Java Spring Boot Python Django Flask node js Express Open Source MVC PHP MariaDB Open Source RDBMS React Vue js Open Source Front end Framework Jenkins Redmine Open Source CI CD System Issue Tracking System Git 자사 주최 전시 박람회 통합 구축 프로젝트 분석 설계 프로젝트 리딩 구현 전략 로드맵 제시 구축 인력 스택 언어 프레임워크 제외 형상 시스템 선정 선정 능력 경험 풍부하다,0.344531892399859
ERP전문가,https://www.wanted.co.kr/wd/107910,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F23357%2Fltd4l6v3j2hrbwtc__1080_790.jpg&w=1000&q=75,SAP CO모듈(관리회계) 운영,웅진,"• 그룹사 CO(관리회계), PS(프로젝트 관리) 운영 및 개발 
• 고객 비즈니스 개선 제안 및 적용","• SAP ERP CO 운영 및 구축 경력 8년 이상 
• 관리회계 프로세스 이해 및 컨설팅 경험
• ABAP개발 경험 보유  
• 원활한 고객과의 커뮤니케이션 역량 보유","• SAP 관련 자격증 및 교육 경험 보유  
• SAP S/4HANA시스템 마이그레이션 및 운영 경험 
• 교육사업 프로세스, 출판 관련 시스템 운영 및 개발 경험","• 복지카드 지급 - 직위 및 근속 기간에따라 포인트 지급
• 또또사랑 휴가 - 근속기간 7년 이상 근속자에게 안식 휴가 제공 
• 고사양 노트북 및 모니터 지급
• 기술 자격증 취득 지원 및 자격증 수당 지급  
• 시간단위 연차사용 가능 (최소 2시간 부터)
• 사내카페 / 사내 동호회 / 전자도서관 운영
• 건강검진(년 1회) / 헬스케어 프로그램 운영 
• 경조사지원 / 휴양시설 지원
• 자녀입학축하금 / 명절선물 지원
• 정기휴가(유급) / 출산휴가, 육아휴직 / 출산축하선물 등
• 연말 우수사원 / 장기근속 포상제도","SAP
창고 관리
물류 관리
SAP ERP
SAP MM",서울시 중구 청계천로 24 케이스퀘어시티,3648,808,복지 카드 직위 근속 기간 포인트 또또 사랑 휴가 기간 근속 안식 휴가 사양 노트북 모니터 자격증 취득 자격증 수당 단위 연차 최소 카페 동호회 도서관 건강검진 스케 경조사 휴양 시설 자녀 입학 축하 명절 선물 정기 휴가 유급 출산휴가 육아휴직 출산 축하 선물 연말 우수 사원 장기 근속 포상,CO PS 관리회계 프로젝트 비즈니스 개선 제안 적용,0.4285210853988018
ERP전문가,https://www.wanted.co.kr/wd/113647,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F4587%2F17141_2_0.db3be009__1080_790.jpg&w=1000&q=75,시스템운영,푸드나무,"• 기간계 시스템 유지 및 관리
• 미들웨어 개발
• 인터페이스 개발 및 데이터 수집 분석
• ERP 유지 및 관리","• 최소 2년 이상 경력 (사원~과장급 채용)
• 기간계 시스템 운영 경험자
• JAVA / PHP 개발 경험자
• DB 개발 경험자
• 영림원 ERP 개발 및 운영 경험자","• 데이터 수집 및 분석 경험자
• Angular JS 경험자
• MSSQL, PostgreSQL 경험자
• OMS, WMS, TMS 개발 혹은 운영 경험자
• JAVA / PHP 동시 개발 경험자","• [입사를 누구보다 환영해요]
우리와 함께 시작하는 여러분들에게 전하는 선물
: 입사 시  축하카드와 함께 꽃바구니 발송
: 입사 당일 신입사원 웰컴키트 제공
: 입사 후 1개월 축하 선물 발송
: 생일 축하금 지원 

• [일할 땐 집중해서 쉴 땐 쉬어가요]
업무도 확실하게, 보상도 확실하게
: 부르는 순간 PRO가 되는 호칭문화 (전 직원 프로 호칭 사용)
: 효율적인 반반차 제도
: 업무에 필요한 도서 구입은 무한지원
: 스타일 상관없이 일에만 집중하는 자율복장
: 성과에 따른 인센티브제 운영
: 쉴 때도 특별하게, 국내리조트· 렌터카 무료 지원

• [우리의 건강도 중요해요]
건강은 당연하니까
: 건강검진비 지원
: 헬스, 필라테스 등등 운동보조금 지원 
: 자사제품 할인","Confluence
JIRA
Android
AngularJS
VueJS
CSS
HTML
Java
JavaScript
jQuery
HTML5
CSS3
PostgreSQL
Spring Framework
MSSQL
Notion","서울특별시 마포구 월드컵북로 396, 15층(상암동, 누리꿈스퀘어 비지니스타워)",0,없음,PRO 환영 시작 전하 선물 축하 카드 꽃바구니 발송 당일 신입사원 웰컴 키트 축하 선물 발송 생일 축하 집중 쉬다 쉬다 보상 부르다 순간 호칭 프로 호칭 효율 도서 구입 무한 스타일 상관없다 집중 자율 복장 성과 브제 쉬다 특별하다 국내 리조트 렌터카 무료 건강 중요하다 건강 당연하다 건강검진 헬스 필라테스 운동 보조금 자사 할인,ERP 기간 시스템 유지 미들웨어 인터페이스 데이터 수집 분석 유지,0.0
ERP전문가,https://www.wanted.co.kr/wd/101802,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F19650%2F9ft8a8cwzx5id3iv__1080_790.jpg&w=1000&q=75,시니어개발자,딜리버리랩,"• 사내 ERP 개발 및 관리
• 모바일 웹 서비스 개발 및 관리
• 고객 어드민 개발 및 관리","• 경력 : 3년이상
• 웹 어플리케이션 개발을 PHP or JAVA(spring boot) 경력이 있으신 분
• 퍼블리셔된 결과물을 백엔드와 연결해서 프로젝트 완료가 가능하신 분","• 객체지향적으로 개발이 가능하신 분
• 모바일 웹/앱 개발 경험자 (백엔드와 프론트 모두 개발이 가능하신 분)
• 클라우드 환경에서의 개발을 경험해보신 분
• 개발환경 인프라 구축이 가능하신 분","[자유롭고 서로 존중하는 분위기]
ㆍ자유로운 연차, 반차, 반반차 사용
ㆍ직급 없는 문화 (히어로명 호칭)
ㆍ강제 회식 등 꼰대 문화 X
ㆍ정장No! 자유로운 복장 Yes!

[동기부여 및 보상]
ㆍ직무별 인센티브 제공
ㆍ2년 만근 시 최대 10일 리프레시 휴가 지원
ㆍ생일 반차 지원
ㆍ청년내일채움공제 적극지원
ㆍ명절 선물 지원
ㆍ리프레시 데이 지원

[일하고 싶은 근무환경]
ㆍ간식, 커피, 제빙기 제공
ㆍ자율 회의비, 회식비 제공
ㆍ효율적인 듀얼모니터 지원
ㆍ사무기기 구매 지원
ㆍ지하철 도보 5분 이내

[자기개발 적극 지원]
ㆍ도서비 무제한 지원
ㆍ사내 스터디 비용 지원
ㆍ직무별 맞춤 교육 지원","MySQL
Java
PHP",서울시 성수동 2가 277-175 이레타워 2층 201호,0,없음,No Yes 자유 서로 존중 분위기 자유롭다 연차 직급 히어로 호칭 강제 회식 꼰대 정장 자유롭다 복장 동기부여 보상 직무 최대 리프 레시 휴가 생일 청년 내일 채우다 공제 명절 선물 리프 레시 데이 싶다 간식 커피 빙기 자율 회의 회식비 효율 듀얼모니터 사무기기 구매 지하철 도보 자기개발 도서 무제한 스터디 비용 직무 맞춤 교육,ERP 모바일 어드민,0.0
ERP전문가,https://www.wanted.co.kr/wd/121084,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F1922%2Fnqdjsj1gplqarged__1080_790.jpg&w=1000&q=75,IT Business Solution Manager (Seoul),스트라드비젼(StradVision),"• ERP도입, 운영, 고도화
• IT Business solution 신규 도입 및 운영관리(그룹웨어, CRM, BI 등)
• 임직원 커뮤니케이션","• 유관경력 8 – 12년
• IT solution PM, 운영 경험
• 대졸 이상","• ERP 운영 또는 프로젝트 경험(더존, 영림원, SAP)
• 원활한 커뮤니케이션 능력","• [근무제도] 자유출근제, 재택근무제, 최고사양 PC장비 및 인체공학적 의자 제공
• [생활지원] 전직원 상해/실손보험, 종합 건강검진, 경조금, 명절선물
• [교육지원] 도서/교육/세미나/컨퍼런스 참석지원","C / C++
Python
C++",강남대로 363 363강남타워,5056,273,PC 자유 재택근무제 최고 사양 장비 인체 학적 의자 생활 상해 실손 보험 종합 건강검진 명절 선물 교육 도서 교육 세미나 컨퍼런스 참석,ERP Business solution CRM BI 도입 고도화 신규 도입 웨어 커뮤니케이션,0.5939151885351815
ERP전문가,https://www.wanted.co.kr/wd/120648,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F6121%2Fhpgdeh29qci1vxby__1080_790.jpg&w=1000&q=75,SAP-FI 담당자,대림,"SAP FI(재무회계) 시스템 운영
 • SAP ERP FI 모듈 운영 및 ABAP개발/운영 (그룹계열사) 
 • 재무회계 실무 이해 바탕으로 고객사 비즈니스 개선 제안 및 시스템 적용
PI 과제 도출 및 To-Be 프로세스 설계 
SAP ERP 주요 프로세스 (영업/생산/구매/관리회계 등)","• SAP FI 모듈 운영 및 ABAP개발 경력 4년 이상
• IFRS 및 세무 업무 전반 지식 보유
• SAP 인터페이스 개발 및 운영 경험","• SAP Certification 보유자 우대
• IT관련학과 우대
• 석유화학 산업 프로세스 경험자 우대","＞ Refresh 기본 연차 외 유급 5 일 
＞ 복지포인트 연간 70 만원 (지급일 기준 재직자 限)
＞ 기념일 선물 
＞ 그룹사 호텔 이용권 지급 (지급일 기준 재직자 限)
＞ 연간 300 만원 한도의 의료비 지원
＞ 자녀 학자금 지원
＞ 단체 의료 상해 실비 보험 가입
＞ 경조사 및 휴양 시설 지원
＞ 정기 종합 건강 검진
＞ 직장 어린이집 운영 (본사, 근무지와 도보 15분 거리)
＞ 통근 버스 운영 (본사, 근무지와 도보 15분 거리)
 ＞ 임직원 심리 상담 서비스  
 ＞ E-BOOK 구독 지원","ABAP
SAP FI",서울 중구 칠패로 36 연세봉래빌딩 11층,8513,286,Refresh BOOK 연차 유급 복지 포인트 연간 기준 재직 기념일 선물 호텔 이용권 기준 재직 연간 한도 의료 자녀 학자금 의료 상해 실비 보험 가입 경조사 휴양 시설 정기 종합 건강 검진 직장 어린이집 무지 도보 거리 통근 버스 무지 도보 거리 심리 상담 구독,SAP FI SAP ERP FI ABAP PI To Be SAP ERP 재무회계 시스템 모듈 열사 재무회계 실무 이해 바탕 비즈니스 개선 제안 시스템 적용 과제 도출 프로세스 설계 주요 프로세스 영업 생산 구매 관리회계,1.0
ERP전문가,https://www.wanted.co.kr/wd/103871,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F6121%2Fhpgdeh29qci1vxby__1080_790.jpg&w=1000&q=75,프로젝트 및 구매 시스템 (웹) 시스템 운영,대림,"•I TC부문 시스템 운영
• Java 기반 웹 시스템 운영 (프로젝트관리시스템, 구매관리시스템 등)
• Cloud 기반 웹 시스템 개발/운영(ITC TO-BE 개발 플랫폼)","• 학사 이상 소지자
• Java 기반 서버 프로그램 개발 경력 (5년 이상)
• Spring Framework, 이클립스 STS Tool 환경 운영 가능자
• DBMS (ORACLE / MSSQL 등), 형상관리시스템(CVS, SVN) 경험자
• WEB(apache) / WAS(weblogic, tomcat) 운영 경험자
• Linux 서버 경험 및 vi 편집기 활용 가능자
• Cloud 기반 웹 시스템 개발/운영 경력(3년 이상)","• 안드로이드 Native Application 개발 및 운영 경험자
• Swift 기반 iOS 앱 기능 개발 및 운영 경험자","＞ Refresh 기본 연차 외 유급 5 일
＞ 복지포인트 연간 70 만원 (지급일 기준 재직자 限)
＞ 기념일 7 만원 상당의 꽃바구니 케익 연 2 회 제공
＞ 그룹사 호텔 이용권 지급 (지급일 기준 재직자 限)
＞ 연간 300 만원 한도의 의료비 지원
＞ 자녀 학자금 지원
＞ 단체 의료 상해실비보험 가입
＞ 경조사 및 휴양시설 지원
＞ 정기 건강검진
＞ 직장 어린이집 운영 (본사, 근무지와 도보 15분 거리)
＞ 통근 버스 운영 (본사, 근무지와 도보 15분 거리)","ABAP
SAP FI",서울 중구 칠패로 36 연세봉래빌딩 11층,8513,286,Refresh 연차 유급 복지 포인트 연간 기준 재직 기념일 상당 꽃바구니 케익 호텔 이용권 기준 재직 연간 한도 의료 자녀 학자금 의료 상해 실비 보험 가입 경조사 휴양 시설 정기 건강검진 직장 어린이집 무지 도보 거리 통근 버스 무지 도보 거리,TC Java Cloud ITC TO BE 부문 시스템 시스템 프로젝트 시스템 구매 시스템 시스템 플랫폼,1.0
ERP전문가,https://www.wanted.co.kr/wd/115750,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F23372%2Fhbkita25x1h8ifb7__1080_790.jpg&w=1000&q=75,[이랜드그룹] SAP SD Module,이랜드이노플,"⊙ SAP ERP SD시스템 운영 (패션, 유통)
    - SAP SD Standard 유지보수, CBO 프로그램 유지보수 
    - Legacy 시스템 인터페이스(EAI) 분석설계
    - 월/분기/반기/연간 결산 및 감사 지원
    - 재무, 영업, 온라인, SCM전반적으로 고객과 협업하여 프로그램 개선사항 도출 등 운영 업무 지원","⊙ SAP ERP SD  Module 운영 업무, 프로젝트 수행 경험 필수 (1년 이상)          
⊙ 현장 영업,판매,매장, 온라인 관련 전반적인 업무 이해 보유자","⊙ 타모듈 및 ABAP 관련 지식 및 경력 우대         
⊙ 전산감사 및 상장사 내부통제 경험자 우대","• 시차출퇴근제 운영 (출근시간 자율선택) 
• 이랜드그룹 계열사 할인 제공
• 온라인 강의 및 도서 등 개인역량 향상을 위한 학습지원
• 직원 경조사비용 지원
• 단체 상해보험
• 사내라운지 카페 무제한 이용
• 생일 반일휴가(오전 근무 후 퇴근)
• 학부모 특별 휴가(자녀 입학,졸업식, 운동회 사용가능","SAP
ABAP
SAP SD","서울특별시 금천구 가산디지털1로 88 IT프리미어타워 17,18층",5139,185,출근시간 자율 이랜드 열사 할인 온라인 강의 도서 개인 역량 향상 학습 경조사 비용 상해 보험 라운지 카페 무제한 이용 생일 휴가 오전 학부모 특별 휴가 자녀 입학 졸업식 운동회,SAP ERP SD SAP SD Standard CBO Legacy EAI SCM 시스템 패션 유통 유지 보수 유지 보수 시스템 인터페이스 분석 설계 분기 반기 연간 결산 감사 재무 영업 온라인 전반 협업 개선 도출,0.6036649829672266
ERP전문가,https://www.wanted.co.kr/wd/101950,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F23372%2Fhbkita25x1h8ifb7__1080_790.jpg&w=1000&q=75,[이랜드그룹] SAP CO Module,이랜드이노플,"•  SAP ERP CO 시스템 운영
  - 관리회계/원가 업무 지원 : 코스트센터회계, 제품원가, 수익성분석 등
  - SAP CO Standard 유지보수, CBO 프로그램 유지보수 
  - 재무, 기획팀 등 고객과 협업하여 프로그램 개선사항 도출 등 운영 업무 지원

•  SAP 프로젝트 PM/PL 업무 수행
  - 고객사 비즈니스 신규/변경에 따른 As-is 분석, To-be 프로세스 설계
  - 조직 변경(법인 합병, 분할 등) 발생 시 시스템 통합 계획 수립 및 실행","• SAP ERP CO Module 운영 업무, 프로젝트 수행 경험 필수 (3년 이상)     
• 회계, 원가, 손익 관련 전반적인 업무 이해 보유자","• 타모듈 및 ABAP 관련 지식 및 경력 우대
• 전산감사 및 상장사 내부통제 경험자 우대","• 시차출퇴근제 운영 (출근시간 자율선택) 
• 이랜드그룹 계열사 할인 제공
• 온라인 강의 및 도서 등 개인역량 향상을 위한 학습지원
• 직원 경조사비용 지원
• 단체 상해보험
• 사내라운지 카페 무제한 이용
• 생일 반일휴가(오전 근무 후 퇴근)
• 학부모 특별 휴가(자녀 입학,졸업식, 운동회 사용가능)","SAP
ABAP
SAP SD","서울특별시 금천구 가산디지털1로 88 IT프리미어타워 17,18층",5139,185,출근시간 자율 이랜드 열사 할인 온라인 강의 도서 개인 역량 향상 학습 경조사 비용 상해 보험 라운지 카페 무제한 이용 생일 휴가 오전 학부모 특별 휴가 자녀 입학 졸업식 운동회,SAP ERP CO SAP CO Standard CBO SAP PM PL As is To be 시스템 관리회계 원가 코스트 센터 회계 원가 수익 분석 유지 보수 유지 보수 재무 기획 협업 개선 도출 프로젝트 비즈니스 신규 변경 분석 프로세스 설계 변경 합병 분할 발생 시스템 통합 계획 실행,0.6036649829672266
ERP전문가,https://www.wanted.co.kr/wd/53698,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F19041%2Ftj5bzixjkki2s0rx__1080_790.jpg&w=1000&q=75,IT 기획,서플러스글로벌,"• 내부시스템 (CRM) 고도화 기획, 운영 및 개선
  L 업무프로세스 분석 및 시스템 설계
  L 시스템 운영관리 및 데이터 정합성 확보
  L 프로세스 개선 및 효율화
• Website (Open market) 고도화 기획, 운영 및 개선
  L 업무프로세스 분석 및 시스템 설계
  L 시스템 운영관리 및 데이터 정합성 확보
  L 프로세스 개선 및 효율화
• 신규시스템 (ERP, MES, BI, AI RPA등) 도입 타당성 검토
  L 사업 프로세스 분석 및 설계
  L 신규시스템 도입 및 안정화
• Data 분석을 통한 Biz insight 도출","• 내부시스템 및 웹사이트 기획, 운영 경력 5년 이상
• CRM, Open market, ERP등의 시스템 기획, 운영 및 구축 경력
• WAS(Weblogic)등 웹 서버 구축 경력
• Java 기반 Web Application 개발 경력
• 데이터베이스(my-sql) 활용 능력
• 전반적인 시스템 구조를 설계할 수 있는 넓은 시야, 기술을 리딩할 수 있는 능력
• 마케팅/영업팀 동료들과 원활한 커뮤니케이션 능력
• 주도적으로 자신의 일을 찾아 문제를 해결하고 개선하는 능력
• 새로운 개발 언어, 기술, 환경에 대한 유연성 및 적응력
• 최고 수준의 투명성과 도덕성
※ 프로젝트 중심으로 사용했던 기술, 본인의 역할 및 수행업무 상세기술할 것","• 시스템 간 인터페이스를 설계하고 구현해본 경험자 우대
• AI 관련 구축 유경험자 우대
• UI/DB 설계 가능자 우대
• Mobile app 개발 가능자 우대
• B2B Marketplace 경험자 우대
• 영어회화 가능자 우대","• 3개월 수습 / 연봉제 + 성과급 / 스톡옵션, 스톡그랜트
• 조식, 중식, 석식제공 / 명절선물 / 종합건강건진 / 통신비지원 / 피복지급 / 포상제도 / 경조사지원 / 리조트 회원권 사용 및 주말 법인차량대여 / 선택적복지제도운영 / 단체 상해보험가입","데이터베이스
데이터 분석
데이터 구조
데이터 입력",용인시 처인구 남사읍 서촌로 56,6347,62,수습 봉제 성과급 스톡옵션 스톡 그랜트 조식 중식 석식 명절 선물 종합 건강 건지다 통신비 피복 포상 경조사 리조트 회원 주말 차량 대여 복지 상해 보험 가입,CRM Website Open market ERP MES BI AI RPA Data Biz insight 내부 시스템 고도화 기획 개선 프로세스 분석 시스템 설계 시스템 데이터 정합 확보 프로세스 개선 효율 고도화 기획 개선 프로세스 분석 시스템 설계 시스템 데이터 정합 확보 프로세스 개선 효율 신규 시스템 도입 타당성 검토 프로세스 분석 설계 신규 시스템 도입 안정화 분석 도출,0.7455656055444614
