category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee,first_cleaned_all
하드웨어 엔지니어,https://www.wanted.co.kr/wd/122483,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F29440%2Foqxwpycsemensw2x__1080_790.jpg&w=1000&q=75,HW 개발(신입),백금티앤에이,"• HW 개발
• 서류전형-＞인성검사-＞면접(1,2차)-＞최종합격","• 전기,전자,전파공학 계열 학과 졸업자","• 전기,전자,전파공학 계열 학과 석/박사","• 자녀 대학학자금 전액지원
• 임직원 종합건강검진 (매 2년)
• 임직원 단체상해보험 가입
• 어학교육비 지원
• 대여금 제도 (주택구입, 임차, 긴급생활자금)
• 콘도미니엄제도 (대명콘도)
• 장기근속자 순금 포상(10년, 15년, 20년)
• 기타 지원(생일, 결혼기념일 축하금 지급, 명절 상품권 지급)",없음,"경기도 군포시 엘에스로 153-18, L&C타워 5,6F",8058,54,자녀 대학 학자금 전액 지원 직원 종합 건강검진 직원 단체 상해 보험 가입 어학 교육비 지원 대여 제도 주택 구입 임차 긴급 생활 자금 콘도미니엄 제도 대명 콘도 장기 근속 순금 포상 지원 생일 결혼기념일 축하 지급 명절 상품권 지급 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성개발 서류 전형 인성 검사 면접 최종 합격 HW 개발 서류전형 인성검사 면접 차 최종합격
하드웨어 엔지니어,https://www.wanted.co.kr/wd/108455,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31125%2F7hbac2gxote7k277__1080_790.jpg&w=1000&q=75,"연구소 HW, SW 개발인력",삼지전자,"• 시스템HW 분야
  - 통신 중계기 Hardware 설계 개발
  - HW 시스템 시험

• Digital HW
  - Digital Board H/W 설계 개발
  - FPGA 로직 설계 개발

• 통신 중계기 SW
  - 통신중계기 Software 설계 개발
  - Embedded S/W 개발

* 지원 시 위 세 가지중 지원분야 이력서 기재 必","• 대졸이상
• 공학계열 전공자","• 전기, 전자공학, 정보통신공학 전공자
• 일본어 가능자","• 유연근무제 운영
• 자녀학자금 및 건강검진 지원
• 샌드위치 데이 리프레시 휴가
• 생일, 기념일 상품권 지급
• 경조휴가 및 경조금 지급
• 인센티브 지급(비고정)",없음,경기도 화성시 금곡로 63-27,없음,없음,유연근무제 운영 자녀 학자금 건강검진 지원 샌드위치 데이 리프 레시 휴가 생일 기념일 상품권 지급 조휴 지급 센티 지급 고정 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성시스템 분야 통신 중계기 설계 개발 시스템 시험 설계 개발 로직 설계 개발 통신 중계기 통신 중계기 설계 개발 개발 지원 가지 지원 분야 이력서 기재 시스템HW 분야 통신 중계기 Hardware 설계 개발 HW 시스템 시험 Digital HW Digital Board H W 설계 개발 FPGA 로직 설계 개발 통신 중계기 SW 통신중계기 Software 설계 개발 Embedded S W 개발 지원 시 위 세 가지중 지원분야 이력서 기재
하드웨어 엔지니어,https://www.wanted.co.kr/wd/105105,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F30968%2Frohoifvrkwebi2b2__1080_790.jpg&w=1000&q=75,HardWare 개발자,크리에이츠,"• 고속신호 회로설계
• 영상신호 회로설계
• FPGA 회로설계
• DDR3/DDR4 회로설계
• 신뢰성 테스트 (KC/CE/FCC)
• 양산이관 및 생산지원업무","• 4년제 대졸 이상
•","• 머신비젼, DVR, NVR, SETUP-BOX 경험자
• FW 개발경험자","• 경조사비 지원
• 휴양콘도 지원
• 성과 인센티브
• 우리사주 . 스톡옵션
• 자기개발비 지원
• 도서구입비 지원","JIRA
Linux
Python
C
C++
Visual Studio",서울시 강남구 봉은사로 51길 31,없음,없음,사비 지원 휴양 콘도 지원 성과 센티 사주 스톡옵션 자기개발 지원 도서 구입 지원 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성고속 신호 회로 설계 영상 신호 회로 설계 회로 설계 회로 설계 신뢰 테스트 산이 생산 지원 업무 고속신호 회로설계 영상신호 회로설계 FPGA 회로설계 DDR DDR 회로설계 신뢰성 테스트 KC CE FCC 양산이관 및 생산지원업무
하드웨어 엔지니어,https://www.wanted.co.kr/wd/112355,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F32401%2Fhjsqylz8rfksjvx0__1080_790.jpg&w=1000&q=75,RTL개발,솔탑,"[주요업무]
  • RTL개발

[전형절차]
  • 서류전형＞1차면접＞2차(임원)면접＞합격",• Xilinx 또는 PolarFire 개발자,• 통신관련 FPGA 개발자 우대,"[급여제도]
• 4대보험 가입
• 장기근속자 포상금
• 퇴직연금

[선물]
• 생일,명절 기념선물

[리프레시]
• 연,반차 및 창립기념일, 근로자의 날 휴무
• 육아휴직제도
• 유연근무제 시행
• 자유복장

[복리후생]
• 식사제공(중/석식)
• 카페테리아,휴게실,회의실
• 경조휴가 및 경조금
• 복지카드 제공
• 임직원 건강검진(배우자 포함)
• 회사와 제휴된 휴양시설 지원","네트워크 관리
리눅스 서버
안테나",대전광역시 유성구 엑스포로409,4250,121,급여 제도 보험 가입 장기 근속 상금 퇴직 연금 선물 생일 명절 기념 선물 리프 레시 창립 기념일 근로자 휴무 육아휴직 제도 유연근무제 시행 자유 복장 복리 후생 식사 제공 석식 카페테리아 휴게실 회의실 조휴 복지 카드 제공 직원 건강검진 배우자 포함 회사 제휴 휴양 시설 지원 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성업무 개발 전형 절차 서류 전형 면접 임원 면접 합격 주요업무 RTL개발 전형절차 서류전형 차면접 차 임원 면접 합격
하드웨어 엔지니어,https://www.wanted.co.kr/wd/36410,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F11783%2Fsfxbqzcfkujxajku__1080_790.png&w=1000&q=75,AI 스마트 주차 시스템 하드웨어 개발/관리,실리콘큐브,"• 제품 하드웨어 개발 관련 부품 선정 및 검증
• Board 및 제품 debugging","• H/W 개발 유경력자 (4~10년차) 
• Or-cad 사용 가능하신 분
• 전자 부품에 대한 기본적인 지식이 있으신 분
• 해외 출장 결격 사유 없으신 분","• Digital, Analog 회로 설계 및 검증 가능자
• MCU Firmware 코딩 가능자 우대
• 양산 경험자 우대
• 일본향 제품 개발 유경험자","• 연봉은 업무 역량에 따라 최대한 협의 가능 합니다.
• 기본 복지 제공",".NET
.NET Core
React
Web Socket
ASP
ASP .NET
CSS
HTML
Python
AWS
jQuery
컴퓨터
EC2
코드 디버깅",경기도 성남시 수정구 창업로 54 733호,4961,11,연봉 업무 역량 따르다 최대한 협의 가능 기본 복지 제공 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성제품 하드웨어 개발 관련 부품 선정 검증 제품 제품 하드웨어 개발 관련 부품 선정 및 검증 Board 및 제품 debugging
하드웨어 엔지니어,https://www.wanted.co.kr/wd/104080,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F16300%2F6uimqq10rcssev57__1080_790.jpg&w=1000&q=75,전자의료기기 HW설계/제작,리브스메드,"• 임베디드 시스템 HW설계/펌웨어 제작(MCU, 통신, FPGA, 전원부)
• 고속 PCB 설계
• 전자의료기기 전장부 설계 제작
• HW 제작에 따른 부품 및 제조업체 소싱
• 의료기기 인허가 관련 HW설계 문서 작성 및 양산이관",• 유관 업무 유경험자,"• 5년 이상 경력자(3년차도 가능하나, 우대사항)","• 자유로운 연차사용
• 최고 사양의 PC와 모니터 제공
• 야근 식대 및 택시비 지원
• 청년내일채움공제, 재직자내일채움공제 지원
• 성과에 따른 인센티브 지급
• 카페 수준의 최고급 커피머신 구비
• 다양한 입맛을 만족시켜줄 음료 무제한 제공
• 간식, 간편식이 항상 준비되어 있는 스낵바
• 업무로 쌓인 피로를 덜어줄 안마기와 다리마사지기 구비
• 쾌적한 근무환경을 위해 공기청정기와 더불어 공기살균기 구비

☞ 복지제도는 리브스메드의 성장과 함께 지속적으로 업그레이드될 예정입니다.",없음,경기 성남시 분당구 판교로700,4075,106,자유롭다 연차 사용 최고 사양 오다 모니터 제공 야근 식대 택시 지원 청년 내일 채우다 공제 재직 내일 채우다 공제 지원 성과 따르다 센티 지급 카페 수준 최고급 커피 머신 구비 다양하다 입맛 만족 음료 무제한 제공 간식 간편식 항상 준비 되어다 스낵바 업무 쌓이다 피로 덜다 안마 기와 다리 마사지 구비 쾌적하다 근무 환경 공기청정기 더불다 공기 살균 구비 복지 제도 리브스메드 성장 지속 업그레이드 예정 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성임베디드 시스템 설계 펌웨어 제작 통신 원부 고속 설계 의료기기 장부 설계 제작 제작 따르다 부품 제조업체 소싱 의료기기 허가 관련 설계 문서 작성 산이 임베디드 시스템 HW설계 펌웨어 제작 MCU 통신 FPGA 전원부 고속 PCB 설계 전자의료기기 전장부 설계 제작 HW 제작에 따른 부품 및 제조업체 소싱 의료기기 인허가 관련 HW설계 문서 작성 및 양산이관
하드웨어 엔지니어,https://www.wanted.co.kr/wd/90724,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F28129%2Fcmxcoxkh6edrfsl8__1080_790.jpg&w=1000&q=75,"GUI, FW 및 SW개발 / 임베디드 리룩스기반 FW개발/FPGA/HW개발",에이디알에프코리아,"• 개발 분야: 
통신용 장비에 사용될 GUI, FW 및 SW개발 / 임베디드 리룩스기반 FW개발/FPGA/HW","• 사용언어: C, C++ 
• 컴퓨터 공학 및 소프트웨어 관련 학과 4년제 졸업자 또는 동등학력 소지자","• Linux 환경 개발 경험자 / 임베디드 리눅스 환경 개발 경험자
• Netconf/YANG, C/C++, 이더넷 패킷 처리에 대한 심층적인 이해 ,SDN(Software-Defined Networking)기반 제어 기술에 대한 이해 능력 및 개발 유 경험자.","• 사내기숙사 제공
• 4대보험, 퇴직연금, 경조휴가 및 지원금 지급, 장기근속자포장(매 5년 단위), 내일채움공제가입지원(해당자), 연구수당(외부 과제별)지급","Git
Linux
C / C++
C++",경기도 이천시 백사면 이여로 196-16,4450,35,사내 기숙사 제공 보험 퇴직 연금 조휴 원금 지급 장기 자포 단위 내일 채우다 가입 지원 해당 연구 수당 외부 과제 지급 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성개발 분야 신용 장비 사용 개발 임베디드 룩스 기반 개발 개발 분야 통신용 장비에 사용될 GUI FW 및 SW개발 임베디드 리룩스기반 FW개발 FPGA HW
하드웨어 엔지니어,https://www.wanted.co.kr/wd/117278,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31670%2Fsqu8pfgzejcpviiq__1080_790.jpg&w=1000&q=75,Hardware Engineer 및 인증 담당,지디아이솔루션,"ㆍMCU 가 기능을 할 수 있도록 디지털 회로 설계, 개발을 해요.
ㆍ본질안전방폭인증 요구사항을 맞춰 회로를 설계해요. 
ㆍ국내/해외 본질안전방폭인증을 진행해요 (UL, ATEX, IECEx, KC)
ㆍ가스센서의 시그널을 증폭하는 아날로그 회로 설계를 담당해요.","ㆍ대졸 이상 전기전자 졸업자를 선호해요. 
ㆍ회로 설계 경험이 있으신 분을 선호해요.
ㆍ맡은 업무를 책임감 있게 수행하실 수 있는 분과 함께 하고 싶어요.","ㆍ방폭 인증 경력이 있는 분이면 더 좋아요.
ㆍ휴대용 기기 회로 설계 경험이 있으신 분이면 우대해 드려요.
ㆍ관련 직종 유경험자는 우대해 드려요. 
ㆍ영어로 문서를 작성하실 수 있고 이야기를 하실수 있는 분이면 더욱 좋겠어요. 
ㆍ관련 분야 경력이 있는 분이면 더욱 좋아요.
ㆍ진취적 마인드로 업무를 하실수 있는 분이면 더욱 좋겠어요.","- 주4일근무. 주20%는 자기개발을 위해 사용해주세요. 주1일(금)은 자기개발을 위해 사용해 주세요. 
- 원격 근무 활성화를 위해 노력하고 있어요. 원격근무를 위해 에어팟 프로를 입사시 증정해 드립니다. 
- 재직 중인 직원에게 건강검진을 지원해 드려요. 
- 교육, 도서, 음악, 공연등 문화 생활비를 지원해요.
- 5~19 세 자녀가 있으시면 자녀 교육비를 지원해요.
- 대학 학자금을 지원해요. 
- 경조금을 지원해요 (결혼, 칠순, 조사)
- 점심은 당연히 제공해 드려요. 
- 간식 및 음료 무제한 제공합니다.","ORCAD
PADS",서울시 강서구 양천로 401 강서한강자이타워 A동 306호,없음,없음,늘다 자기개발 사용 해주다 자기개발 사용 줄다 원격 근무 활성화 노력 근무 에어팟 프로 사시 증정 드리다 재직 중인 직원 건강검진 지원 드리다 교육 도서 음악 연등 문화 생활비 지원 자녀 자녀 교육비 지원 대학 학자금 지원 지원 결혼 조사 점심 당연하다 제공 드리다 간식 음료 무제한 제공 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성가다 기능 디지털 회로 설계 개발 본질 안전 방폭 인증 요구사항 맞추다 회로 설계 국내 해외 본질 안전 방폭 인증 진행 가스 센서 시그널 증폭 아날로그 회로 설계 담당 MCU 가 기능을 할 수 있도록 디지털 회로 설계 개발을 해요 본질안전방폭인증 요구사항을 맞춰 회로를 설계해요 국내 해외 본질안전방폭인증을 진행해요 UL ATEX IECEx KC 가스센서의 시그널을 증폭하는 아날로그 회로 설계를 담당해요
하드웨어 엔지니어,https://www.wanted.co.kr/wd/114182,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F23974%2Fhiy4zfpjcjtk4qqm__1080_790.png&w=1000&q=75,"(클라우드/서버) 시스템 엔지니어, 리눅스 엔지니어",인투와이즈,"• 리눅스 기반의 인공지능 개발 환경 구축
• 오픈소스 기반의 어플리케이션 설치 및 트러블 슈팅","• Linux 환경의 다양한 솔루션 경험이 있는 분 또는 관심이 있는 분
• GPU기반 인공지능 환경 구축에 관심 있는 분","• 리눅스 관련 자격증
• 오픈소스 활용 능력
• Docker의 개념 이해, Kubemetes를 통한 Docker container 운영관리 경험","• 통신비 지원
• 당 및 카페인 충전소 운영
• 눈치 안보는 자율출퇴근제 운영 (코어시간 : 11시 ~ 15시)
• 도서 구매 및 컨퍼런스/세미나 지원
• 업무 관련 역량 강화를 위한 교육 지원
• GPU가 탑재된 사설 클라우드 지원
• LG그램(또는 갤럭시북, 맥북), 갤럭시탭(또는 아이패드) 등 최고 사양의 장비 지원
• 건강검진 지원


근무지 
• 서울/대전 근무지 선택 가능
  - 서울: 서울 마포구 큰우물로 75 성지빌딩 1206호
  - 대전: 대전 가정로 218 ETRI 융합기술연구생산센터 233-3호","Github
GitLab
Hadoop
MongoDB
Pytorch
Spark
Tensorflow
Java
JavaScript
Python
C
C++
PostgreSQL
OpenStack
Spring Framework
CentOS
Ubuntu
OpenCV",대전 가정로 218 ETRI 융합기술연구생산센터 233-3호,4215,11,통신비 지원 카페인 충전 운영 눈치 안보 자율 출퇴근 운영 코어 도서 구매 컨퍼런스 세미나 지원 업무 관련 역량 강화 교육 지원 가다 탑재 사설 클라우드 지원 그램 또는 갤럭시 맥북 갤럭시탭 또는 아이패드 최고 사양 장비 지원 건강검진 지원 근무 서울 대전 근무 선택 가능 서울 서울 마포구 크다 우물 성지 빌딩 대전 대전 가정 융합 기술 연구 생산 센터 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성리눅스 기반 인공 지능 개발 환경 구축 오픈소스 기반 어플리케이션 설치 트러블 슈팅 리눅스 기반의 인공지능 개발 환경 구축 오픈소스 기반의 어플리케이션 설치 및 트러블 슈팅
하드웨어 엔지니어,https://www.wanted.co.kr/wd/76159,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F22427%2F3yxqfqxb1sxchaa6__1080_790.jpg&w=1000&q=75,친환경 올인원 에어케어시스템 PCB 및 펌웨어,엔트,"• 전자제품, 공조기 PCB 개발 및 외주업체 관리
• 전자제품, 공조기 펌웨어 개발 및 외주업체 관리","• 관련경험 5년 이상
• 해외여행에 결격사유가 없는 분
• 전기, 자동제어 개발업무 경험이 있으신 분","• 인버터 압축기 경험
• 에어컨 개발 경험","• 중식제공
• 카페테리아
• 4대보험
• 연차휴가
• 주 5일근무
• 경조사 지원
• 스탁옵션",없음,경기도 부천시 석천로 397 부천테크노파크 쌍용3차 202-706,없음,없음,중식 제공 카페테리아 보험 연차 휴가 경조사 지원 스탁 옵션 주업무 전자전기 회로설계 및 테스트 펌웨어 개발 지원 일반 회로 설계 경력자 북미 모바일 키친용 자동 조리기구 볶음 치킨 및 모바일 자동 키친 트럭 개발 STM F MCU 기반 시스템 제어보드 설계 자동제어 시스템 전장 설계 및 설치 센서 제어 및 신호 수집 회로 설계 부업무 인증 및 양산 지원 기술문서 작성전자제품 조기 개발 외주 업체 관리 전자제품 조기 펌웨어 개발 외주 업체 관리 전자제품 공조기 PCB 개발 및 외주업체 관리 전자제품 공조기 펌웨어 개발 및 외주업체 관리
