category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee,first_cleaned_welfare,first_cleaned_works
DBA,https://www.wanted.co.kr/wd/116951,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F11142%2F0y3inbi2zze5unqx__1080_790.jpg&w=1000&q=75,IoT 시스템 개발자,모빅랩,"• IoT 시스템 서비스 포탈 개발
• IoT 시스템 브로커 엔진 개발
• IoT 디바이스 플랫폼 개발","• 개발 경력 5년 이상 JavaScript에 대한 전문적인 개발 역량
• Node.js 개발 역량
• Vue.js 개발 역량","• MSA 기반 프로젝트 경험자
• Mqtt broker를 활용하는 시스템 개발 경험자
• 상용 클라우드 서비스 기반 프로젝트 경험자
• Elasticsearch 사용 프로젝트 경험자
• Linux 사용 경험자
• raspberry pi 사용 경험자
• container 시스템 및 관리 플랫폼(k8s) 사용 경험자
• DBA","[근태]
• 자유로운 업무 환경 (복장 자율, 자유로운 연차 사용)
• 맞춤형 출퇴근제 (개인에게 맞는 최적의 출퇴근 시간을 협의하여 고정적으로 운영)
• 생일 연차 제도 (생일 연차 부여/ 생일이 속한 월 중에 자유롭게 연차 1일 사용)

[식대]
• 점심 식대 및 야근시 저녁 식대 지원(1만원 이내/ 사무실 출근시 지원)
• 사내 스낵바 제공 (컵라면, 과자, 아이스크림, 커피, 음료 등)

[자기개발]
• 업무 관련 컨퍼런스, 교육, 도서구입비 지원
• 직무 수행에 필요한 최신 장비, 소프트웨어 제공

[기타]
• 경조 휴가 및 경조금 지원 (생일, 결혼, 출산, 장례 등)
• 명절 상여금 및 선물세트 지급
• 종합 건강검진 지원(2년에 1회, 15만원)
• 정부 정책사업 (청년 내일채움공제, 중소기업 취업자 소득세 감면 등) 적극 지원","Linux
VueJS
JavaScript
ElasticSearch
NodeJS
Raspberry Pi",연수구 컨벤시아대로 204,없음,없음,자유롭다 복장 자율 자유롭다 연차 맞춤 개인 최적 고정 생일 연차 생일 연차 생일 자유롭다 연차 식대 점심 식대 야근 저녁 식대 스낵바 컵라면 과자 아이스크림 커피 음료 자기개발 컨퍼런스 교육 도서 구입 직무 최신 장비 소프트웨어 경조 휴가 생일 결혼 출산 장례 명절 상여금 선물 세트 종합 건강검진 정부 정책 청년 내일 채우다 공제 중소기업 취업 소득세 감다,IoT IoT IoT 시스템 포탈 시스템 브로커 엔진 디바이스 플랫폼
DBA,https://www.wanted.co.kr/wd/118287,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F28362%2Fzjvnt7n3qrxevqfe__1080_790.png&w=1000&q=75,DBA 엔지니어 (애드팝콘),애드팝콘,"• RDBMS 데이터베이스 운영 및 문제해결
• 데이터베이스 성능 최적화
• 데이터 분석을 위한 데이터 가공 작업
• 신규 개발 작업 지원","• 기본적인 SQL/Stored Procedure 작업이 가능하신 분
• RDBMS에 대해서 이해가 있으신 분
• Python 또는 C#으로 개발 가능하신 분
• AWS 또는 Cloud Infra를 다뤄본 분","• AWS 상에서의 인프라 구축 및 운영 경험이 있는 분
• 클라우드 데이터 서비스 (RDS/Athena/Redshift 등) 운영 경험이 있는 분
• 대규모 데이터 ETL 경험이 있으신 분
• SQL 숙련자(MySQL/MSSQL/PostgreSQL)
• 광고 플랫폼에 대한 이해도가 있으신 분
• Critical한 장애를 경험하고 이를 슬기롭게 극복한 경험이 있으신 분","아이지에이웍스 그룹사는 오직 업무에만 집중할 수 있도록 다양한 복리후생 프로그램을 제공하고 있으며 더 좋은 조직문화와 근무환경을 만들기 위해 노력하고 있습니다.

[성장과 가치를 응원하는 과감한 지원]
• 성과에 따른 합당한 보상과 인센티브 제도를 운영하고 있습니다.

[업무를 위한 아낌없는 지원]
• 모든 신규 입사자분들께 소속감을 뿜뿜할 수 있는 웰컴키트를 제공합니다. 또한, 업무에 적응할 수 있도록 체계적인 온보딩 프로그램을 지원합니다.
• 분기별 씽크업(Sync-up), 사내 뉴스레터를 통하여 회사의 다양한 뉴스와 개발 중인 서비스에 대한 소식, 팀 소개 등을 구성원들에게 전달 및 공유하고 있습니다.
• 일만 하다보면 출출할 때가 있기 마련! IGAW에서는 다양한 취향을 만족시키기위한 14종의 네스프레소 캡슐 커피와 아이스크림, 음료수 등을 무제한~~으로 제공합니다. 
• 장비가 아쉬워서 업무에 집중하지 못했던 순간이 있으신가요? IGAW에서는 직무에 맞게 업무에 필요한 장비와 소프트웨어를 지원하고 있습니다. 
• 혹시 읽고 싶은 책이 있으신가요? 직원들의 성장을 위해 도서 구입비는 무제한으로 지원해드립니다.

[워라밸 & 쾌적한 출퇴근길 & 회사 뷰 상위 0.01%를 자랑합니다]
• 출근시간이 걱정된다고요? 걱정하지마세요! IGAW는 유연한 근무를 위한 자율 시차출퇴근제를 운영하고 있습니다.
• 열심히 일한 당신~ 휴가 떠나세요! 연차 사용에 전혀 눈치를 주지 않고 자율적으로 휴가 사용이 가능합니다. 또한, 오랫동안 함께해 준 직원들에게 특별 휴가와 지원금을 제공해 드립니다.
• 출근길에 갑자기 소나기가 내려도 걱정하지마세요! 합정역에서 회사로 바로 연결되어 있습니다.
• 사무실 창가에 펼쳐진 한강 뷰로 풍경이 곧 복지가 될 수 있음을 경험하실 수 있습니다.

[소소하고 다양한 복지로 채워가고 있습니다]
• ‘앗! 생일이세요? 얼른 집에 가세요!’ 기념일을 서로 축하하고 조기 퇴근 및 상품권을 지급하고 있습니다. 다른 경조사도 함께 나누며 다양한 경조사비를 지원하고 있습니다. 
• 누구나 사용할 수 있는 ‘매월 1회’ 해피데이(지연출근 혹은 조기퇴근) 제도를 운영하고 있습니다.
• 썸타임, 랜덤런치, 치맥데이 등 멤버들과 편하게 즐길 수 있는 모임을 지원하고 있습니다.
• 업무에도 집중하면서 동료들과 친해지고 싶다면? IGAW는 동료와 함께하는 시간을 지원하는 동호회를 운영하며 국내외 워크샵도 지원하고 있습니다.
• 청년 입사자를 위한 특별한 혜택, 청년내일채움공제 가입이 가능합니다. 
• 직원들의 건강을 책임지는 최고급 정밀건강검진을 제공하고 있습니다.
• 명절에 마음까지 따뜻해지는 명절 상품권(설날/추석)도 전직원 지급하고 있습니다.",없음,"서울특별시 마포구 양화로 45, 세아타워 15층",4784,26,Sync up IGAW IGAW IGAW IGAW 아이지 에이 웍스 살다 집중 다양하다 복리 후생 좋다 직문 만들기 노력 성장 가치 응원 과감 성과 합당 보상 아낌없다 신규 사자 뿜뿜할 웰컴 키트 적응하다 체계 온보딩 분기 크다 뉴스레터 다양하다 뉴스 중인 소식 소개 전달 공유 일만 출출하다 마련 다양하다 취향 만족 네스프레소 캡슐 커피 아이스크림 음료수 무제한 장비 아쉽다 집중 순간 가요 직무 장비 소프트웨어 읽다 싶다 가요 성장 도서 구입 무제한 쾌적하다 출퇴근길 상위 자랑 출근시간 걱정 걱정 말다 늘다 유연하다 자율 휴가 연차 전혀 눈치 주지 자율 휴가 오랫동안 특별 휴가 원금 출근길 소나기 걱정 말다 합정역 연결 창가 펼쳐지다 한강 풍경 복지 경험 소소하다 다양하다 복지로 채우다 생일 이세 얼른 가세 기념일 서로 축하 조기 상품권 경조사 다양하다 사비 매월 해피 데이 지연 조기 타임 랜덤 런치 치맥 데이 멤버 편하다 즐기다 모임 집중 친해지다 싶다 늘다 동호회 국내외 워크샵 청년 특별하다 혜택 청년 내일 채우다 공제 가입 건강 책임지다 최고급 정밀 건강검진 명절 마음 따뜻하다 명절 상품권 설날 추석,RDBMS 데이터베이스 문제해결 데이터베이스 성능 최적화 데이터 분석 데이터 가공 작업 신규 작업
DBA,https://www.wanted.co.kr/wd/118119,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F35%2Fwl4mb18qp45k1aum__1080_790.jpg&w=1000&q=75,"[Tech] DevOps SE (Data, Senior)",위대한상상(요기요),"• GCP/AWS 설정과 리소스 생성을 자동화하며 코드로 관리(IaC)
• 지속적인 시스템 모니터링을 통한 성능 추적 및 개선
• 요기요 서비스를 위한 플랫폼을 개발, 구축 및 운영
• Container Platform 적용 및 Orchestration
• MLOps 플랫폼 기반의 CI/CD/CT 구축","• Containerization과 Container Orchestration Tool에 대한 운영 경험
• AWS/GCP 기반 인프라 설계 및 운영 경험
• 꾸준하게 새로운 기술을 학습하고 업무에 적용하려는 분
• CI/CD 구축 경험","• 기본적인 OS/Network 지식 보유
• GCP 기반의 인프라 설계 및 운영 경험이 있으신 분
• IaC를 통한 효율적인 인프라 운영 경험과 기술적 역량
• Production 환경에서 Kubernetes 구축/운영 경험이 있으신 분","“요기요의 업무 환경""
•  매주 금요일 2시간 조기 퇴근
•  재택근무 지원
•  유연근무제
•  각 층별 Kitchen 제공
•  업무 집중을 위한 Focus Room 공간 마련

""요기요의 행복 충전""
•  1년 만근 시마다, 여행 포인트 지급 (최소 50만, 최대 100만원)
•  3년 근속 시 1주, 5년/10년 근속 시 한 달 refresh 유급휴가
•  헬스키퍼(사내 안마사), 네일케어, 고급안마의자 등 사내 복합 휴게 공간 제도 운영
•  직원들의 만남의 장소, Yogiro 사내 카페(Roof Top)
•  Free Drink(음료)
•  콘도 할인 제공
•  요기요 할인 쿠폰 매월 지급
•  명절 상품권 지급

요기요의 자기 개발""
•  금요 테마 교육 진행
•  온라인교육(전화영어) 지원
•  도서 구매 지원
•  동호회 지원

""요기요의 건강 지킴""
•  독감예방 접종
•  건강검진 지원(대상자에 한함)

""요기요의 든든한 가족""
•  단체 상해 보험(본인/배우자/자녀까지 포함)
•  자녀까지 해당되는 마음 편한 병가 제도
•  경조 휴가 및 경조금(결혼/출산/수연/기념일/사망)
•  결혼기념일 휴가
•  임신 전기간 시차출퇴근, 단축 근무
•  예비 엄마 축하 선물 지급 및 사내 Nursing Room
•  배우자 임신 시, 정기검진 방문 동행 지원(월 1회 반차 공가)","AngularJS
.NET
React
C#
TypeScript
HTTP
RESTful Architecture","서울특별시 서초구 서초대로38길 12, 마제스타시티 타워2",없음,없음,Kitchen Focus Room refresh Yogiro Roof Top Free Drink Nursing Room 기요 매주 금요일 조기 재택근무 유연근무제 층별 집중 공간 마련 기요 행복 충전 시마 여행 포인트 최소 최대 근속 근속 유급 휴가 헬스 키퍼 안마 네일케어 고급 안마 의자 복합 휴게 공간 만남 장소 카페 음료 콘도 할인 요기 할인 쿠폰 매월 명절 상품권 기요 테마 교육 온라인교육 전화영 도서 구매 동호회 기요 건강 지킴 독감 예방 접종 건강검진 대상자 기요 든든하다 가족 상해 보험 배우자 자녀 자녀 해당 마음 편하다 병가 경조 휴가 결혼 출산 수연 기념일 사망 결혼기념일 휴가 임신 기간 단축 예비 엄마 축하 선물 배우자 임신 정기 검진 방문 동행 공가,GCP AWS IaC Container Platform MLOps CI CD CT 설정 리소스 자동화 코드 지속 시스템 모니터링 성능 추적 개선 요기 플랫폼 구축 적용 플랫폼 구축
DBA,https://www.wanted.co.kr/wd/109019,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31363%2Fhqj6xggurv527qx6__1080_790.jpg&w=1000&q=75,Apache Kafka 지원 전문가,락플레이스,"• Apache Kafka 지원
• Confluent 지원","• 학력 : 무관
• 성별 : 무관
• 경력 : 경력(1~5년)","• 2~3년 이상의 IT 실무 경험
• 대용량 시스템 구축 및 운영 경험
• 분산 시스템, 데이터베이스(RDBMS, NoSQL), Message Broker/Queue, Bigdata 실무 경험
• Kafka 기반 Event Streaming 시스템 구축 및 운영 경험
• Linux 관련 자격증 보유자","• 중식 제공
• 복지포인트 지원
• 통신비 지원
• 생일/결혼기념일 쿠폰 지급
• 어버이날 행사
• 예방접종 지원
• 리조트 이용권
• 대체휴가 제공
• 단체보장 보험
• 교육비, 도서비 지원
• 경조사비 지원","React
Spring Framework","서울시 강남구 언주로 844 윤당빌딩 3,7층",4272,96,중식 복지 포인트 통신비 생일 결혼기념일 쿠폰 어버이날 행사 예방접종 리조트 이용권 대체 휴가 보험 교육비 도서 사비,Apache Kafka Confluent
DBA,https://www.wanted.co.kr/wd/108896,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31363%2Fhqj6xggurv527qx6__1080_790.jpg&w=1000&q=75,오픈소스 시스템 엔지니어,락플레이스,"• 클라우드&오픈소스 컨설팅, 구축, 기술지원&유지보수, 프로젝트 상주 등
• 리눅스, 가상화, 클러스터, Container, Ansible, 오픈스택, Ceph 등","• 학력 : 무관
• 성별 : 무관
• 경력 : 신입/경력","• IT교육 수료자(신입)
• 오픈스택 동종 업계 경력(경력)
• 유닉스, S/W 기술지원 경력(경력)
•클라우드플랫폼(오픈스택) 경험(경력)","• 중식 제공
• 복지포인트 지원
• 통신비 지원
• 생일/결혼기념일 쿠폰 지급
• 어버이날 행사
• 예방접종 지원
• 리조트 이용권
• 대체휴가 제공
• 단체보장 보험
• 교육비, 도서비 지원
• 경조사비 지원","React
Spring Framework","서울시 강남구 언주로 844 윤당빌딩 3,7층",4272,96,중식 복지 포인트 통신비 생일 결혼기념일 쿠폰 어버이날 행사 예방접종 리조트 이용권 대체 휴가 보험 교육비 도서 사비,Container Ansible Ceph 클라우드 오픈소스 컨설팅 구축 유지 보수 프로젝트 상주 리눅스 가상화 클러스터 오픈스택
DBA,https://www.wanted.co.kr/wd/109020,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31363%2Fhqj6xggurv527qx6__1080_790.jpg&w=1000&q=75,"WEB/WAS(Apache, Tomcat, JBoss) 기술지원 엔지니어",락플레이스,"• WEB/WAS (Apache, Tomcat, JBoss) 기술지원","• 학력 : 무관
• 성별 : 무관
• 경력 : 신입~경력(1년 미만)",• IT 관련 전공자 및 학원 정규 과정을 이수하신 분,"• 중식 제공
• 복지포인트 지원
• 통신비 지원
• 생일/결혼기념일 쿠폰 지급
• 어버이날 행사
• 예방접종 지원
• 리조트 이용권
• 대체휴가 제공
• 단체보장 보험
• 교육비, 도서비 지원
• 경조사비 지원","React
Spring Framework","서울시 강남구 언주로 844 윤당빌딩 3,7층",4272,96,중식 복지 포인트 통신비 생일 결혼기념일 쿠폰 어버이날 행사 예방접종 리조트 이용권 대체 휴가 보험 교육비 도서 사비,WEB WAS Apache Tomcat JBoss
DBA,https://www.wanted.co.kr/wd/109023,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F31363%2Fhqj6xggurv527qx6__1080_790.jpg&w=1000&q=75,오픈소스 DBMS 시스템 엔지니어,락플레이스,"• MySQL, MariaDB, PostgreSQL 구축 및 기술지원
• MySQL, MariaDB, PostgreSQL 장애처리 및 Troubleshooting
• MySQL, MariaDB, PostgreSQL 유지보수 (Backup&Recovery, Monitoring)
• MySQL, MariaDB, PostgreSQL 성능 최적화","• 학력 : 무관
• 성별 : 무관
• 경력 : 신입/경력","• 데이터베이스 기본 지식
• OSS DBMS 유경험자
• 리눅스 유경험자","• 중식 제공
• 복지포인트 지원
• 통신비 지원
• 생일/결혼기념일 쿠폰 지급
• 어버이날 행사
• 예방접종 지원
• 리조트 이용권
• 대체휴가 제공
• 단체보장 보험
• 교육비, 도서비 지원
• 경조사비 지원","React
Spring Framework","서울시 강남구 언주로 844 윤당빌딩 3,7층",4272,96,중식 복지 포인트 통신비 생일 결혼기념일 쿠폰 어버이날 행사 예방접종 리조트 이용권 대체 휴가 보험 교육비 도서 사비,MySQL MariaDB MySQL MariaDB MySQL MariaDB Backup Recovery MySQL MariaDB 구축 장애 유지 보수 성능 최적화
DBA,https://www.wanted.co.kr/wd/119532,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F384%2F4rd3c4mkcf6n459y__1080_790.jpg&w=1000&q=75,DBA,두나무(업비트/증권플러스),"• MySQL 데이터베이스 운영
• MySQL 쿼리 검수 및 최적화
• DB 모니터링 및 장애 조치
• 모니터링 환경 구성
• 업무 자동화
• HA 구성","• MySQL 5년 이상 운영 경험이 있으신 분
• MySQL 쿼리 및 파라미터 튜닝 경험이 있으신 분
• MySQL 모니터링 및 트러블슈팅 경험이 있으신 분
• 클라우드 서비스 환경에서 3년 이상 운영 경험이 있으신 분
• 스크립트 언어 사용이 가능하신 분 (Python, Shell 등)","• Kubernetes 환경 경험이 있으신 분
• 부하테스트를 즐겨하시는 분
• 긍정적이고 탐구 정신이 많으신 분
• 동료들과 경쟁보다는 협업과 공유를 즐기시는 분","[아낌없이 주는 두나무]
• 최고의 성과를 위한 최고의 업무 환경을 제공합니다.
- 최고사양 맥북, 4K 모니터 등 고사양 장비 기본 지급
- 임직원 사내 대출 지원 (1년 이상 재직 시 1억, 장기 근속 시 최대 3억 주택자금 무이자 대출)
- 인당 30만 원까지 키보드, 마우스 등 업무용 주변 기기 구매 지원
- 자기개발을 위한 국내외 컨퍼런스 참여 및 도서 구매 가능 (Safari Books Online 구독 가능)
- 통신비 지원
- 야근 후 귀가 시 택시비 지원
- 강남역 1번 출구에서 도보 2분 거리의 초역세권 근무지

• 임직원과 가족의 건강을 지원합니다. 
- 임직원 사내 대출 지원 (1년 이상 재직 시 1억, 장기 근속 시 최대 3억 주택자금 무이자 대출)
- 매년 100만원 상당의 건강검진 지원 (본인 포함 가족 3인까지 총 300만원 지원) 
- 생명보험 (본인) 가입, 실손 의료보험 (치과 진료 포함, 본인/배우자 및 본인/배우자의 직계 존비속까지 가능) 가입
- 안식 휴가 제공 (3년 이상 근무 시 10일)

• 일터와 가족의 행복을 지원합니다.
- 실제 연장근무에 따른 연장근무수당 지급 (포괄임금제 폐지)
- 복지카드 지급 (연간 500만원)
- 점심 식대 월 30만원 지원, 저녁 식대 지원, 팀별 회식비 지원
- 50여 종의 음료 및 과자 상시 비치 (원하는 제품 신청 가능)
- 우수 인재 추천금 지원 
- 국내 유명 휴양소 이용 지원 (아난티, 설해원 등)
- 명절 선물 지급
- 경조금 및 경조휴가, 화환 및 상조용품 지원",없음,서울 강남구 테헤란로4길 14 미림타워,없음,490,Safari Books Online 아낌없이 주다 나무 최고 성과 최고 최고 사양 맥북 모니터 사양 장비 대출 재직 장기 근속 최대 주택 자금 이자 대출 보드 마우스 주변 기기 구매 자기개발 국내외 컨퍼런스 도서 구매 구독 통신비 야근 귀가 택시 강남역 출구 도보 거리 역다 가족 건강 대출 재직 장기 근속 최대 주택 자금 이자 대출 매년 상당 건강검진 가족 생명보험 가입 실손 의료 보험 치과 진료 배우자 배우자 직계 존비속 가입 안식 휴가 일터 가족 행복 실제 연장 연장 수당 포괄 임금 폐지 복지 카드 연간 점심 식대 저녁 식대 팀별 회식비 음료 과자 상시 비치 신청 우수 추천 국내 유명 휴양 이용 아난 해원 명절 선물 조휴 화환 상조 용품,MySQL MySQL DB HA 데이터베이스 쿼리 검수 최적화 모니터링 장애 조치 모니터링 구성 자동화 구성
DBA,https://www.wanted.co.kr/wd/112711,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F19355%2Ftj8fdtm0ijzy5fn0__1080_790.jpg&w=1000&q=75,[데이터TDM팀] java개발자,인젠트,"• infoSeer-Trans 구축 및 기술지원
• 제품 성능고도화 및 이관 기능 고도화
• RDBMS 기술 R&D","• Linux/DBMS(postgresql)
• java 개발 
• oracle, postgresql 등 RDBMS 사용 경험
• 데이터 이관 프로세스 경험
• 버전 관리 시스템 사용 경험 (git/svn)","• spring framework 경험자
• RDBMS 관련 사용 및 설계 가능자
• 관련 자격증(정보처리기사 등)","• 패밀리데이: 매주 2, 4째주 금요일은 조기퇴근!!
• 휴양시설 지원: 대명리조트 회원권 가격으로 이용가능!!
• 건강검진 지원: 기본 건강검진 이외 추가 지원금 제공!!!!!
• 교육지원: 직무역량 강화를 위해서라면 얼마든지!!!
• 출산 휴가 및 육아휴직: 가족과 함께 할 수 있도록 충분한 휴식을 드립니다.
• 경조금 및 경조 휴가
• 장기근속자 및 우수사원에게 어마어마한 포상을!!!

이 외에도 다양한 복지제도를 운영중이며, 새로운 복지를 지속적으로 찾고 있습니다.","Linux
Oracle
VueJS
Java
JavaScript
SQL
웹 개발
JSP
Spring Framework
QA 엔지니어링",서울특별시 영등포구 국제금융로2길36 (여의도동) 9층 유화빌딩,없음,없음,패밀리 데이 매주 째다 금요일 조기 휴양 시설 대명 리조트 회원 가격 이용 건강검진 건강검진 이외 추가 원금 교육 직무 역량 강화 출산 휴가 육아휴직 가족 충분하다 휴식 경조 휴가 장기 근속 우수 사원 어마어마하다 포상 다양하다 복지 새롭다 복지 지속 찾다,infoSeer Trans RDBMS 구축 성능 고도화 고도화
DBA,https://www.wanted.co.kr/wd/112676,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F19355%2Ftj8fdtm0ijzy5fn0__1080_790.jpg&w=1000&q=75,[데이터사업] DB엔지니어,인젠트,"• PostgreSQL 유지보수 및 구축 프로젝트 수행
• PostgreSQL DBMS Version release에 따른 R&D
• On-premise, Cloud 환경에서 eXperDB 구축 및 Migration","• PostgreSQL 또는 Oracle 사용 가능자
• 기타 DBMS 사용 가능자
• Cloud 환경에 대한 이해 및 경험자","• 관련 자격증(정보처리 기사, SQLD 등)
• DB에 대한 열정이 있는 분","• 패밀리데이: 매주 2, 4째주 금요일은 조기퇴근!!
• 휴양시설 지원: 대명리조트 회원권 가격으로 이용가능!!
• 건강검진 지원: 기본 건강검진 이외 추가 지원금 제공!!!!!
• 교육지원: 직무역량 강화를 위해서라면 얼마든지!!!
• 출산 휴가 및 육아휴직: 가족과 함께 할 수 있도록 충분한 휴식을 드립니다.
• 경조금 및 경조 휴가
• 장기근속자 및 우수사원에게 어마어마한 포상을!!!

이 외에도 다양한 복지제도를 운영중이며, 새로운 복지를 지속적으로 찾고 있습니다.","Linux
Oracle
VueJS
Java
JavaScript
SQL
웹 개발
JSP
Spring Framework
QA 엔지니어링",서울특별시 영등포구 국제금융로2길36 (여의도동) 9층 유화빌딩,없음,없음,패밀리 데이 매주 째다 금요일 조기 휴양 시설 대명 리조트 회원 가격 이용 건강검진 건강검진 이외 추가 원금 교육 직무 역량 강화 출산 휴가 육아휴직 가족 충분하다 휴식 경조 휴가 장기 근속 우수 사원 어마어마하다 포상 다양하다 복지 새롭다 복지 지속 찾다,DBMS Version release On premise Cloud eXperDB Migration 유지 보수 구축 프로젝트 구축
